chamado_id,cliente_id,canal,assunto,severidade,status,abertoEm,resolvidoEm,tempoResolucaoHoras,satisfacao,transacaoDisputadaId
CH0000073,CLI0999,App,Problema no aplicativo,Média,Resolvido,2025-09-04T02:17:21,2025-09-07T14:17:21,84,2,
CH0000074,CLI0543,Chat,Reclamação de atendimento,Baixa,Resolvido,2026-02-03T08:07:24,2026-02-05T04:07:24,44,3,
CH0000075,CLI0111,Chat,Contestação de transação,Alta,Em Andamento,2025-12-14T03:58:43,,,,TX0007435
CH0000076,CLI0400,App,Reclamação de atendimento,Baixa,Resolvido,2025-11-15T16:35:28,2025-11-15T17:35:28,1,5,
CH0000077,CLI0780,E-mail,Solicitação de cancelamento,Baixa,Resolvido,2025-11-30T16:50:13,2025-11-30T20:50:13,4,5,
CH0000078,CLI0228,E-mail,Solicitação de cancelamento,Média,Resolvido,2025-09-12T05:57:32,2025-09-12T09:57:32,4,5,
CH0000079,CLI0918,E-mail,Solicitação de cancelamento,Baixa,Resolvido,2025-09-17T04:33:39,2025-09-19T12:33:39,56,1,
CH0000080,CLI0269,Telefone,Reclamação de atendimento,Baixa,Resolvido,2026-02-03T04:12:11,2026-02-04T12:12:11,32,4,
CH0000081,CLI1142,App,Elogio ao atendimento,Média,Resolvido,2026-01-28T16:01:36,2026-01-31T17:01:36,73,3,
CH0000082,CLI0866,Telefone,Dúvida sobre produto,Baixa,Resolvido,2025-11-29T09:11:39,2025-12-01T15:11:39,54,2,
CH0000083,CLI1110,App,Solicitação de cancelamento,Baixa,Aberto,2025-09-15T15:49:54,,,,
CH0000084,CLI1243,App,Solicitação de cancelamento,Baixa,Aberto,2026-03-01T17:15:27,,,,
CH0000085,CLI1207,E-mail,Dúvida sobre produto,Baixa,Resolvido,2026-01-13T22:31:15,2026-01-15T15:31:15,41,3,
CH0000086,CLI0337,Agência,Contestação de transação,Baixa,Resolvido,2025-12-25T06:20:16,2025-12-26T05:20:16,23,1,TX0002444
CH0000087,CLI0377,Chat,Reclamação de atendimento,Baixa,Aberto,2025-10-10T06:53:24,,,,
CH0000088,CLI1242,Agência,Alteração cadastral,Baixa,Resolvido,2025-11-23T05:46:59,2025-11-25T01:46:59,44,1,
CH0000089,CLI0341,Telefone,Problema no aplicativo,Baixa,Resolvido,2025-12-15T03:07:12,2025-12-15T13:07:12,10,5,
CH0000090,CLI0535,App,Elogio ao atendimento,Baixa,Resolvido,2025-10-29T02:04:10,2025-11-01T16:04:10,86,5,
CH0000091,CLI0969,Agência,Reclamação de atendimento,Baixa,Em Andamento,2025-12-01T12:52:21,,,,
CH0000092,CLI0153,App,Dúvida sobre fatura,Média,Em Andamento,2025-10-27T20:59:54,,,,
CH0000093,CLI0301,Chat,Reclamação de atendimento,Média,Em Andamento,2026-01-19T06:26:53,,,,
CH0000094,CLI0327,App,Solicitação de cancelamento,Baixa,Resolvido,2025-10-04T20:34:14,2025-10-08T07:34:14,83,2,
CH0000095,CLI0829,Telefone,Contestação de transação,Média,Resolvido,2025-12-07T17:01:59,2025-12-09T21:01:59,52,5,TX0012765
CH0000096,CLI0784,App,Solicitação de cancelamento,Baixa,Em Andamento,2026-02-28T12:52:46,,,,
CH0000097,CLI0448,Chat,Solicitação de cancelamento,Média,Aberto,2026-01-05T18:36:36,,,,
CH0000098,CLI0354,App,Reclamação de atendimento,Baixa,Resolvido,2025-11-26T11:24:32,2025-11-27T06:24:32,19,1,
CH0000099,CLI0657,Telefone,Elogio ao atendimento,Baixa,Resolvido,2025-11-28T19:22:09,2025-12-01T18:22:09,71,1,
CH0000100,CLI0688,Agência,Reclamação de atendimento,Média,Resolvido,2026-01-05T22:34:22,2026-01-06T02:34:22,4,3,
CH0000101,CLI0005,Telefone,Contestação de transação,Baixa,Resolvido,2026-01-22T20:24:35,2026-01-26T11:24:35,87,2,TX0018542
CH0000102,CLI1300,Chat,Dúvida sobre fatura,Média,Resolvido,2025-09-16T01:44:21,2025-09-19T12:44:21,83,5,
CH0000103,CLI0538,App,Alteração cadastral,Baixa,Resolvido,2025-11-02T03:09:10,2025-11-02T22:09:10,19,5,
CH0000104,CLI0896,App,Reclamação de atendimento,Média,Resolvido,2025-12-21T01:12:41,2025-12-23T00:12:41,47,1,
CH0000105,CLI0707,Agência,Reclamação de atendimento,Média,Resolvido,2025-11-24T02:33:18,2025-11-28T02:33:18,96,4,
CH0000106,CLI0784,App,Elogio ao atendimento,Baixa,Em Andamento,2025-09-07T02:39:47,,,,
CH0000107,CLI0541,App,Dúvida sobre produto,Baixa,Resolvido,2025-12-01T07:03:00,2025-12-04T19:03:00,84,3,
CH0000108,CLI0504,Telefone,Alteração cadastral,Média,Resolvido,2026-02-10T09:42:56,2026-02-11T17:42:56,32,4,
CH0000109,CLI0997,Telefone,Dúvida sobre produto,Baixa,Resolvido,2026-01-13T15:11:25,2026-01-15T01:11:25,34,3,
CH0000110,CLI1136,App,Problema no aplicativo,Baixa,Resolvido,2025-10-26T03:30:15,2025-10-27T17:30:15,38,3,
CH0000111,CLI0820,Chat,Reclamação de atendimento,Baixa,Em Andamento,2025-11-02T14:18:11,,,,
CH0000112,CLI0149,Agência,Dúvida sobre fatura,Média,Resolvido,2026-02-11T23:32:51,2026-02-14T20:32:51,69,4,
CH0000113,CLI0156,App,Solicitação de cancelamento,Média,Resolvido,2025-10-28T07:06:29,2025-10-30T02:06:29,43,4,
CH0000114,CLI0664,E-mail,Contestação de transação,Baixa,Resolvido,2025-10-27T22:30:58,2025-10-30T05:30:58,55,5,TX0007369
CH0000115,CLI0755,App,Dúvida sobre fatura,Média,Resolvido,2025-12-18T17:57:08,2025-12-21T03:57:08,58,5,
CH0000116,CLI0919,Agência,Problema no aplicativo,Baixa,Resolvido,2025-11-09T00:14:12,2025-11-09T04:14:12,4,2,
CH0000117,CLI0838,App,Alteração cadastral,Alta,Em Andamento,2025-12-07T19:38:57,,,,
CH0000118,CLI0905,Agência,Dúvida sobre produto,Média,Aberto,2025-11-05T06:38:01,,,,
CH0000119,CLI1210,Telefone,Dúvida sobre produto,Média,Resolvido,2025-11-23T20:16:21,2025-11-26T06:16:21,58,3,
CH0000120,CLI1132,App,Dúvida sobre produto,Média,Resolvido,2026-01-24T02:53:11,2026-01-24T12:53:11,10,3,
CH0000121,CLI0595,E-mail,Contestação de transação,Média,Resolvido,2025-09-06T14:51:49,2025-09-06T16:51:49,2,1,TX0009777
CH0000122,CLI0855,App,Dúvida sobre fatura,Baixa,Resolvido,2025-10-16T19:43:57,2025-10-18T20:43:57,49,5,
CH0000123,CLI0137,Telefone,Solicitação de cancelamento,Baixa,Em Andamento,2025-10-15T23:28:40,,,,
CH0000124,CLI0392,Chat,Problema no aplicativo,Média,Em Andamento,2026-01-17T12:01:08,,,,
CH0000125,CLI0818,App,Reclamação de atendimento,Média,Em Andamento,2025-11-21T21:48:50,,,,
CH0000126,CLI0522,Chat,Solicitação de cancelamento,Média,Em Andamento,2026-01-04T19:55:34,,,,
CH0000127,CLI1189,Chat,Contestação de transação,Baixa,Aberto,2026-03-01T10:27:53,,,,TX0014411
CH0000128,CLI0840,App,Reclamação de atendimento,Baixa,Resolvido,2025-11-21T07:59:45,2025-11-22T00:59:45,17,2,
CH0000129,CLI0518,Chat,Dúvida sobre produto,Baixa,Em Andamento,2026-02-20T16:02:46,,,,
CH0000130,CLI0573,Telefone,Solicitação de cancelamento,Baixa,Resolvido,2025-12-31T20:09:16,2026-01-04T11:09:16,87,2,
CH0000131,CLI0892,E-mail,Contestação de transação,Baixa,Resolvido,2026-01-14T09:57:44,2026-01-15T07:57:44,22,1,TX0001107
CH0000132,CLI0489,App,Contestação de transação,Baixa,Resolvido,2025-09-12T06:02:37,2025-09-15T16:02:37,82,3,TX0009509
CH0000133,CLI0324,Telefone,Contestação de transação,Baixa,Aberto,2026-01-05T21:09:43,,,,TX0010516
CH0000134,CLI0120,E-mail,Dúvida sobre produto,Baixa,Resolvido,2025-12-10T21:24:23,2025-12-14T19:24:23,94,4,
CH0000135,CLI0753,App,Alteração cadastral,Média,Aberto,2025-10-19T11:18:00,,,,
CH0000136,CLI0335,Chat,Dúvida sobre fatura,Média,Resolvido,2026-02-13T04:23:09,2026-02-17T00:23:09,92,5,
CH0000137,CLI1117,Chat,Solicitação de cancelamento,Baixa,Resolvido,2026-01-19T02:54:05,2026-01-19T13:54:05,11,4,
CH0000138,CLI0581,App,Contestação de transação,Baixa,Cancelado,2025-10-29T06:51:44,,,,TX0000648
CH0000139,CLI0828,Agência,Contestação de transação,Baixa,Resolvido,2026-02-10T17:00:26,2026-02-11T16:00:26,23,3,TX0009529
CH0000140,CLI1111,Telefone,Dúvida sobre fatura,Média,Resolvido,2025-09-23T08:29:35,2025-09-26T13:29:35,77,5,
CH0000141,CLI0684,App,Solicitação de cancelamento,Alta,Em Andamento,2025-11-14T15:52:55,,,,
CH0000142,CLI0600,E-mail,Dúvida sobre produto,Média,Aberto,2025-11-09T08:04:05,,,,
CH0000143,CLI1130,Agência,Dúvida sobre produto,Média,Resolvido,2025-09-02T08:16:39,2025-09-04T19:16:39,59,1,
CH0000144,CLI0763,E-mail,Dúvida sobre produto,Baixa,Resolvido,2025-11-28T17:34:20,2025-12-01T08:34:20,63,2,
CH0000145,CLI1180,Telefone,Alteração cadastral,Média,Resolvido,2026-01-19T00:45:16,2026-01-20T13:45:16,37,5,
CH0000146,CLI0938,Agência,Dúvida sobre produto,Baixa,Resolvido,2025-10-22T23:10:36,2025-10-24T02:10:36,27,1,
CH0000147,CLI1279,Chat,Contestação de transação,Média,Resolvido,2025-11-26T08:47:28,2025-11-30T07:47:28,95,3,TX0007579
CH0000148,CLI1105,App,Alteração cadastral,Baixa,Em Andamento,2025-09-18T17:01:22,,,,
CH0000149,CLI0368,Chat,Contestação de transação,Alta,Resolvido,2025-10-29T07:37:59,2025-10-31T04:37:59,45,4,TX0001826
CH0000150,CLI1189,App,Reclamação de atendimento,Alta,Resolvido,2025-12-03T07:01:02,2025-12-03T16:01:02,9,5,
CH0000151,CLI0107,App,Contestação de transação,Baixa,Aberto,2025-12-29T02:38:50,,,,TX0023431
CH0000152,CLI0161,Telefone,Elogio ao atendimento,Alta,Resolvido,2025-10-09T04:53:29,2025-10-11T03:53:29,47,4,
CH0000153,CLI0168,E-mail,Contestação de transação,Alta,Resolvido,2025-11-22T14:21:06,2025-11-23T07:21:06,17,1,TX0013717
CH0000154,CLI0936,App,Contestação de transação,Baixa,Resolvido,2025-11-26T04:13:28,2025-11-29T05:13:28,73,5,TX0005819
CH0000155,CLI0539,Agência,Contestação de transação,Baixa,Resolvido,2025-10-08T03:44:27,2025-10-11T04:44:27,73,3,TX0020306
CH0000156,CLI0104,E-mail,Dúvida sobre produto,Média,Resolvido,2026-02-01T13:49:22,2026-02-04T00:49:22,59,1,
CH0000157,CLI0821,App,Solicitação de cancelamento,Baixa,Resolvido,2025-09-30T19:26:22,2025-10-04T10:26:22,87,3,
CH0000158,CLI0780,App,Elogio ao atendimento,Baixa,Resolvido,2026-02-10T09:40:31,2026-02-10T20:40:31,11,4,
CH0000159,CLI0350,App,Dúvida sobre produto,Baixa,Resolvido,2025-12-21T12:44:34,2025-12-22T00:44:34,12,5,
CH0000160,CLI0859,Telefone,Dúvida sobre fatura,Baixa,Em Andamento,2025-12-15T01:49:08,,,,
CH0000161,CLI0489,App,Dúvida sobre fatura,Baixa,Em Andamento,2025-12-02T03:48:09,,,,
CH0000162,CLI1225,App,Solicitação de cancelamento,Média,Resolvido,2026-02-16T22:31:45,2026-02-18T02:31:45,28,1,
CH0000163,CLI0337,App,Elogio ao atendimento,Baixa,Resolvido,2025-12-29T15:00:40,2025-12-29T22:00:40,7,4,
CH0000164,CLI1066,Telefone,Contestação de transação,Baixa,Resolvido,2025-11-21T12:01:20,2025-11-21T14:01:20,2,5,TX0010783
CH0000165,CLI0290,Agência,Contestação de transação,Baixa,Em Andamento,2025-10-24T00:15:31,,,,TX0012360
CH0000166,CLI0300,E-mail,Dúvida sobre produto,Baixa,Resolvido,2026-01-13T06:57:09,2026-01-16T00:57:09,66,5,
CH0000167,CLI0529,App,Contestação de transação,Baixa,Resolvido,2025-11-25T07:21:59,2025-11-25T12:21:59,5,2,TX0000856
CH0000168,CLI0333,App,Problema no aplicativo,Média,Resolvido,2025-12-03T09:05:26,2025-12-05T22:05:26,61,1,
CH0000169,CLI1126,App,Elogio ao atendimento,Baixa,Resolvido,2025-11-02T05:03:50,2025-11-03T11:03:50,30,2,
CH0000170,CLI0627,Telefone,Solicitação de cancelamento,Baixa,Aberto,2025-09-02T03:29:37,,,,
CH0000171,CLI0700,App,Reclamação de atendimento,Baixa,Resolvido,2025-11-16T18:49:49,2025-11-17T13:49:49,19,1,
CH0000172,CLI1160,App,Elogio ao atendimento,Média,Resolvido,2026-02-09T16:59:53,2026-02-13T00:59:53,80,1,
CH0000173,CLI0237,App,Alteração cadastral,Média,Em Andamento,2026-01-20T16:31:22,,,,
CH0000174,CLI0497,App,Contestação de transação,Média,Resolvido,2025-09-13T04:50:24,2025-09-16T18:50:24,86,5,TX0018649
CH0000175,CLI0393,App,Alteração cadastral,Baixa,Resolvido,2025-11-16T23:47:48,2025-11-19T02:47:48,51,4,
CH0000176,CLI1131,Telefone,Dúvida sobre fatura,Média,Resolvido,2025-11-25T18:34:58,2025-11-29T01:34:58,79,5,
CH0000177,CLI0639,Chat,Reclamação de atendimento,Alta,Em Andamento,2025-10-28T07:31:27,,,,
CH0000178,CLI0871,App,Contestação de transação,Alta,Em Andamento,2025-12-31T17:23:21,,,,TX0019784
CH0000179,CLI0268,App,Problema no aplicativo,Baixa,Resolvido,2026-01-21T15:34:36,2026-01-21T21:34:36,6,5,
CH0000180,CLI0657,Chat,Dúvida sobre fatura,Baixa,Resolvido,2026-01-22T14:53:10,2026-01-24T12:53:10,46,1,
CH0000181,CLI1294,App,Solicitação de cancelamento,Média,Resolvido,2026-01-12T18:12:22,2026-01-15T04:12:22,58,1,
CH0000182,CLI1031,Chat,Contestação de transação,Baixa,Em Andamento,2026-02-10T21:32:46,,,,TX0023168
CH0000183,CLI1281,Agência,Problema no aplicativo,Baixa,Resolvido,2025-09-18T23:42:39,2025-09-19T09:42:39,10,1,
CH0000184,CLI1091,Telefone,Dúvida sobre produto,Baixa,Resolvido,2026-02-22T08:17:12,2026-02-23T02:17:12,18,4,
CH0000185,CLI0578,Telefone,Problema no aplicativo,Baixa,Resolvido,2025-10-06T03:30:54,2025-10-07T10:30:54,31,1,
CH0000186,CLI0767,Agência,Solicitação de cancelamento,Alta,Resolvido,2025-12-16T01:42:06,2025-12-18T02:42:06,49,5,
CH0000187,CLI0679,Chat,Dúvida sobre fatura,Baixa,Resolvido,2025-11-06T08:42:22,2025-11-08T01:42:22,41,5,
CH0000188,CLI0926,Chat,Elogio ao atendimento,Baixa,Resolvido,2025-12-24T16:18:17,2025-12-25T13:18:17,21,2,
CH0000189,CLI1000,App,Contestação de transação,Baixa,Resolvido,2025-11-30T13:04:10,2025-12-03T12:04:10,71,5,TX0020075
CH0000190,CLI0753,Telefone,Problema no aplicativo,Baixa,Resolvido,2025-12-04T11:01:45,2025-12-06T22:01:45,59,5,
CH0000191,CLI0788,App,Alteração cadastral,Alta,Em Andamento,2025-09-24T22:33:55,,,,
CH0000192,CLI0257,Agência,Elogio ao atendimento,Baixa,Em Andamento,2026-01-21T16:33:26,,,,
CH0000193,CLI1291,Chat,Problema no aplicativo,Baixa,Resolvido,2025-10-06T14:17:12,2025-10-08T02:17:12,36,2,
CH0000194,CLI0913,App,Alteração cadastral,Média,Resolvido,2025-09-23T17:15:57,2025-09-24T21:15:57,28,2,
CH0000195,CLI0370,E-mail,Solicitação de cancelamento,Média,Resolvido,2025-09-18T06:54:48,2025-09-21T01:54:48,67,4,
CH0000196,CLI0437,App,Alteração cadastral,Baixa,Resolvido,2025-09-21T01:28:51,2025-09-22T02:28:51,25,4,
CH0000197,CLI0938,Telefone,Reclamação de atendimento,Baixa,Em Andamento,2025-12-13T06:27:07,,,,
CH0000198,CLI0393,Chat,Reclamação de atendimento,Baixa,Em Andamento,2025-11-19T20:43:06,,,,
CH0000199,CLI0406,Telefone,Alteração cadastral,Baixa,Resolvido,2026-01-24T12:44:20,2026-01-27T22:44:20,82,1,
CH0000200,CLI0616,App,Dúvida sobre fatura,Baixa,Aberto,2025-12-10T19:03:04,,,,
CH0000201,CLI0127,Chat,Dúvida sobre fatura,Média,Resolvido,2025-09-25T12:43:59,2025-09-28T07:43:59,67,3,
CH0000202,CLI0882,App,Problema no aplicativo,Baixa,Resolvido,2025-11-09T00:17:13,2025-11-10T11:17:13,35,5,
CH0000203,CLI0853,App,Dúvida sobre fatura,Baixa,Resolvido,2025-11-27T04:35:10,2025-11-28T08:35:10,28,3,
CH0000204,CLI0969,Agência,Dúvida sobre produto,Alta,Resolvido,2025-11-13T06:31:01,2025-11-13T14:31:01,8,4,
CH0000205,CLI0087,Chat,Contestação de transação,Média,Em Andamento,2026-01-30T01:11:17,,,,TX0007988
CH0000206,CLI0737,Chat,Dúvida sobre fatura,Média,Em Andamento,2025-11-23T00:10:58,,,,
CH0000207,CLI1118,Chat,Alteração cadastral,Baixa,Em Andamento,2025-09-16T20:12:59,,,,
CH0000208,CLI1138,Chat,Dúvida sobre fatura,Baixa,Resolvido,2026-01-08T18:06:35,2026-01-11T02:06:35,56,1,
CH0000209,CLI0408,App,Dúvida sobre fatura,Baixa,Resolvido,2025-11-09T05:01:00,2025-11-11T10:01:00,53,3,
CH0000210,CLI1003,E-mail,Contestação de transação,Alta,Resolvido,2026-01-25T17:36:17,2026-01-29T13:36:17,92,3,TX0015513
CH0000211,CLI1195,App,Dúvida sobre fatura,Baixa,Resolvido,2026-01-12T15:55:29,2026-01-16T10:55:29,91,3,
CH0000212,CLI0399,Agência,Reclamação de atendimento,Baixa,Resolvido,2026-02-01T00:31:24,2026-02-04T15:31:24,87,2,
CH0000213,CLI0284,Chat,Problema no aplicativo,Média,Resolvido,2025-10-19T03:03:13,2025-10-22T23:03:13,92,5,
CH0000214,CLI0541,Agência,Dúvida sobre produto,Baixa,Em Andamento,2025-12-27T11:22:36,,,,
CH0000215,CLI1254,Agência,Elogio ao atendimento,Média,Em Andamento,2025-11-15T17:13:11,,,,
