cliente_id,device_id,modelo,sistemaOperacional,primeiroAcesso,ultimoAcesso
CLI0038,DEV0038,Galaxy A54,Android 13,2024-11-05,2025-11-12
CLI0039,DEV0039,Redmi Note 12,Android 13,2022-06-08,2025-11-04
CLI0040,DEV0040,Galaxy S23,Android 14,2024-04-09,2025-05-21
CLI0041,DEV0041,iPhone 14,iOS 17,2023-05-15,2025-11-27
CLI0042,DEV0042,Galaxy A54,Android 13,2022-02-11,2025-09-09
CLI0043,DEV0136,iPhone 15,iOS 18,2023-01-15,2025-11-29
CLI0044,DEV0044,iPhone 15,iOS 18,2024-11-25,2025-11-03
CLI0045,DEV0045,iPhone 14,iOS 17,2023-04-14,2025-02-16
CLI0046,DEV0132,Moto G84,Android 14,2023-09-01,2025-10-10
CLI0047,DEV0047,iPhone 15,iOS 18,2024-04-18,2025-06-09
CLI0048,DEV0048,Moto G84,Android 14,2022-12-27,2025-05-28
CLI0049,DEV0049,Pixel 8,Android 14,2023-02-05,2025-11-05
CLI0050,DEV0049,Pixel 8,Android 14,2023-02-05,2025-11-05
CLI0051,DEV0051,iPhone 15,iOS 18,2022-01-18,2025-06-16
CLI0052,DEV0052,Moto G84,Android 14,2022-04-27,2025-07-21
CLI0053,DEV0053,iPhone 15,iOS 18,2024-01-23,2025-10-21
CLI0054,DEV0049,Pixel 8,Android 14,2023-02-05,2025-11-05
CLI0055,DEV0055,iPhone 14,iOS 17,2023-08-12,2025-08-24
CLI0056,DEV0056,Moto G84,Android 14,2024-08-13,2025-11-28
CLI0057,DEV0057,Galaxy A54,Android 13,2022-12-08,2025-09-15
CLI0058,DEV0058,Pixel 8,Android 14,2023-09-04,2025-03-01
CLI0059,DEV0059,Galaxy S23,Android 14,2022-02-18,2025-06-11
CLI0060,DEV0060,Galaxy A54,Android 13,2022-10-14,2025-11-29
CLI0061,DEV0061,Galaxy A54,Android 13,2023-06-02,2025-09-07
CLI0062,DEV0062,iPhone 15,iOS 18,2024-05-01,2025-01-27
CLI0063,DEV0063,iPhone 14,iOS 17,2023-12-19,2025-08-27
CLI0064,DEV0064,Pixel 8,Android 14,2024-11-15,2025-10-10
CLI0065,DEV0065,iPhone 15,iOS 18,2023-09-28,2025-09-17
CLI0066,DEV0066,iPhone 14,iOS 17,2024-11-09,2025-04-22
CLI0067,DEV0067,Galaxy S23,Android 14,2024-07-31,2025-06-27
CLI0068,DEV0068,Moto G84,Android 14,2022-09-10,2025-08-13
CLI0069,DEV0069,iPhone 14,iOS 17,2022-11-11,2026-02-27
CLI0070,DEV0144,iPhone 14,iOS 17,2023-12-01,2025-04-16
CLI0071,DEV0071,iPhone 14,iOS 17,2023-09-13,2025-01-07
CLI0072,DEV0072,Galaxy A54,Android 13,2023-06-07,2025-04-18
CLI0073,DEV0073,Pixel 8,Android 14,2022-05-16,2025-04-23
CLI0074,DEV0074,Redmi Note 12,Android 13,2024-07-30,2026-02-20
CLI0075,DEV0075,Moto G84,Android 14,2023-11-09,2025-11-20
CLI0076,DEV0076,Pixel 8,Android 14,2023-05-18,2025-04-26
CLI0077,DEV0132,Moto G84,Android 14,2023-09-01,2025-10-10
CLI0078,DEV0078,Pixel 8,Android 14,2022-10-31,2025-10-12
CLI0079,DEV0079,iPhone 14,iOS 17,2024-11-01,2025-07-05
CLI0080,DEV0080,iPhone 14,iOS 17,2023-05-12,2025-03-25
CLI0081,DEV0081,Galaxy A54,Android 13,2024-06-04,2025-03-20
CLI0082,DEV0082,Galaxy S23,Android 14,2023-04-28,2025-09-07
CLI0083,DEV0083,Pixel 8,Android 14,2023-04-27,2025-05-27
CLI0084,DEV0084,Moto G84,Android 14,2024-02-11,2025-02-12
CLI0085,DEV0085,Galaxy A54,Android 13,2024-10-05,2025-02-17
CLI0086,DEV0086,iPhone 14,iOS 17,2022-10-01,2025-05-30
CLI0087,DEV0087,Galaxy S23,Android 14,2023-11-08,2025-02-21
CLI0088,DEV0061,Galaxy A54,Android 13,2023-06-02,2025-09-07
CLI0089,DEV0132,Moto G84,Android 14,2023-09-01,2025-10-10
CLI0090,DEV0090,iPhone 14,iOS 17,2024-10-13,2025-11-07
CLI0091,DEV0091,Redmi Note 12,Android 13,2022-11-30,2025-12-22
CLI0092,DEV0092,Galaxy S23,Android 14,2024-04-01,2025-08-03
CLI0093,DEV0093,Galaxy A54,Android 13,2022-11-01,2025-12-27
CLI0094,DEV0094,iPhone 14,iOS 17,2024-07-08,2025-03-06
CLI0095,DEV0095,Moto G84,Android 14,2023-05-05,2026-01-03
CLI0096,DEV0096,Galaxy A54,Android 13,2022-03-11,2025-07-06
CLI0097,DEV0097,iPhone 14,iOS 17,2023-06-01,2025-07-19
CLI0098,DEV0098,Galaxy A54,Android 13,2022-09-30,2026-02-22
CLI0099,DEV0099,Pixel 8,Android 14,2022-12-03,2025-05-09
CLI0100,DEV0100,iPhone 15,iOS 18,2023-05-07,2025-09-20
CLI0101,DEV0101,iPhone 14,iOS 17,2022-01-19,2025-11-20
CLI0102,DEV0102,iPhone 14,iOS 17,2024-09-15,2026-01-31
CLI0103,DEV0103,Galaxy S23,Android 14,2024-12-23,2025-07-20
CLI0104,DEV0104,Galaxy A54,Android 13,2023-08-18,2025-10-03
CLI0105,DEV0105,Moto G84,Android 14,2022-05-09,2025-08-31
CLI0106,DEV0106,Galaxy A54,Android 13,2023-06-27,2025-06-03
CLI0107,DEV0107,Galaxy S23,Android 14,2022-01-09,2025-09-29
CLI0108,DEV0099,Pixel 8,Android 14,2022-12-03,2025-05-09
CLI0109,DEV0109,iPhone 14,iOS 17,2024-10-24,2026-01-11
CLI0110,DEV0110,Moto G84,Android 14,2023-08-12,2026-02-04
CLI0111,DEV0111,Moto G84,Android 14,2023-02-15,2025-01-08
CLI0112,DEV0112,iPhone 14,iOS 17,2022-09-23,2026-01-19
CLI0113,DEV0132,Moto G84,Android 14,2023-09-01,2025-10-10
CLI0114,DEV0132,Moto G84,Android 14,2023-09-01,2025-10-10
CLI0115,DEV0061,Galaxy A54,Android 13,2023-06-02,2025-09-07
CLI0116,DEV0116,Pixel 8,Android 14,2024-12-30,2025-08-27
CLI0117,DEV0117,Pixel 8,Android 14,2022-07-08,2025-06-30
CLI0118,DEV0118,Moto G84,Android 14,2022-06-26,2025-02-02
CLI0119,DEV0119,iPhone 15,iOS 18,2024-09-07,2026-01-23
CLI0120,DEV0120,iPhone 14,iOS 17,2024-11-15,2026-02-02
CLI0121,DEV0121,Redmi Note 12,Android 13,2023-04-10,2025-12-03
CLI0122,DEV0122,iPhone 15,iOS 18,2022-03-27,2025-01-19
CLI0123,DEV0123,Redmi Note 12,Android 13,2023-11-25,2025-08-01
CLI0124,DEV0124,Pixel 8,Android 14,2022-07-16,2025-11-01
CLI0125,DEV0125,Moto G84,Android 14,2023-11-29,2025-03-03
CLI0126,DEV0049,Pixel 8,Android 14,2023-02-05,2025-11-05
CLI0127,DEV0127,Redmi Note 12,Android 13,2023-06-13,2026-02-22
CLI0128,DEV0128,Moto G84,Android 14,2024-01-16,2025-02-08
CLI0129,DEV0129,Galaxy S23,Android 14,2023-11-03,2025-04-05
CLI0130,DEV0049,Pixel 8,Android 14,2023-02-05,2025-11-05
CLI0131,DEV0131,iPhone 15,iOS 18,2022-04-11,2025-05-22
CLI0132,DEV0132,Moto G84,Android 14,2023-09-01,2025-10-10
CLI0133,DEV0133,Galaxy A54,Android 13,2022-07-10,2025-12-03
CLI0134,DEV0136,iPhone 15,iOS 18,2023-01-15,2025-11-29
CLI0135,DEV0135,iPhone 14,iOS 17,2023-06-26,2025-03-23
CLI0136,DEV0136,iPhone 15,iOS 18,2023-01-15,2025-11-29
CLI0137,DEV0061,Galaxy A54,Android 13,2023-06-02,2025-09-07
CLI0138,DEV0144,iPhone 14,iOS 17,2023-12-01,2025-04-16
CLI0139,DEV0139,iPhone 15,iOS 18,2024-12-16,2025-05-30
CLI0140,DEV0140,iPhone 15,iOS 18,2022-09-13,2025-12-28
CLI0141,DEV0144,iPhone 14,iOS 17,2023-12-01,2025-04-16
CLI0142,DEV0142,iPhone 15,iOS 18,2022-03-24,2025-04-29
CLI0143,DEV0143,iPhone 15,iOS 18,2023-07-21,2025-02-27
CLI0144,DEV0144,iPhone 14,iOS 17,2023-12-01,2025-04-16
CLI0145,DEV0136,iPhone 15,iOS 18,2023-01-15,2025-11-29
CLI0146,DEV0146,iPhone 15,iOS 18,2024-03-08,2025-06-30
CLI0147,DEV0147,Galaxy A54,Android 13,2022-04-11,2025-05-10
CLI0148,DEV0144,iPhone 14,iOS 17,2023-12-01,2025-04-16
CLI0149,DEV0099,Pixel 8,Android 14,2022-12-03,2025-05-09
CLI0150,DEV0150,Moto G84,Android 14,2024-07-19,2025-06-28
CLI0151,DEV0151,Pixel 8,Android 14,2024-09-03,2025-07-19
CLI0152,DEV0152,iPhone 14,iOS 17,2023-04-26,2025-11-27
CLI0153,DEV0153,Galaxy S23,Android 14,2024-01-30,2025-09-25
CLI0154,DEV0154,Redmi Note 12,Android 13,2024-04-06,2025-01-11
CLI0155,DEV0155,Pixel 8,Android 14,2023-05-16,2026-01-23
CLI0156,DEV0156,Moto G84,Android 14,2022-01-07,2025-03-18
CLI0157,DEV0157,Galaxy A54,Android 13,2023-02-01,2025-04-06
CLI0158,DEV0158,Moto G84,Android 14,2023-02-13,2025-11-18
CLI0159,DEV0159,Galaxy A54,Android 13,2023-02-06,2025-05-06
CLI0160,DEV0160,Moto G84,Android 14,2023-11-14,2025-09-10
CLI0161,DEV0161,Moto G84,Android 14,2022-10-08,2025-04-29
CLI0162,DEV0162,Moto G84,Android 14,2022-05-29,2025-02-22
CLI0163,DEV0163,Galaxy S23,Android 14,2022-07-18,2025-01-19
CLI0164,DEV0164,Redmi Note 12,Android 13,2024-07-10,2025-04-18
CLI0165,DEV0165,Pixel 8,Android 14,2023-05-09,2025-01-23
CLI0166,DEV0166,Pixel 8,Android 14,2024-09-29,2026-02-23
CLI0167,DEV0167,Moto G84,Android 14,2023-04-15,2025-10-22
CLI0168,DEV0168,Moto G84,Android 14,2022-12-03,2025-01-14
CLI0169,DEV0169,iPhone 15,iOS 18,2022-11-18,2025-04-30
CLI0170,DEV0170,iPhone 15,iOS 18,2023-08-28,2025-08-24
CLI0171,DEV0171,iPhone 14,iOS 17,2023-02-23,2025-07-07
CLI0172,DEV0172,Pixel 8,Android 14,2022-11-22,2025-08-31
CLI0173,DEV0173,iPhone 15,iOS 18,2024-05-10,2025-02-25
CLI0174,DEV0174,Galaxy A54,Android 13,2022-08-11,2025-08-11
CLI0175,DEV0175,Redmi Note 12,Android 13,2024-12-23,2025-10-30
CLI0176,DEV0176,Galaxy A54,Android 13,2024-05-20,2025-03-30
CLI0177,DEV0177,Moto G84,Android 14,2023-03-15,2026-01-11
CLI0178,DEV0178,Galaxy A54,Android 13,2022-07-06,2025-10-25
CLI0179,DEV0179,Pixel 8,Android 14,2022-08-20,2025-10-14
CLI0180,DEV0180,iPhone 15,iOS 18,2023-04-20,2026-02-14
CLI0181,DEV0181,iPhone 15,iOS 18,2022-06-21,2025-06-23
CLI0182,DEV0182,Moto G84,Android 14,2022-10-06,2026-02-28
CLI0183,DEV0183,Pixel 8,Android 14,2023-03-28,2025-12-24
CLI0184,DEV0184,Galaxy A54,Android 13,2022-06-14,2026-01-13
CLI0185,DEV0185,iPhone 14,iOS 17,2022-01-24,2026-02-04
CLI0186,DEV0186,iPhone 15,iOS 18,2022-06-16,2025-02-12
CLI0187,DEV0187,iPhone 14,iOS 17,2022-02-22,2026-01-04
CLI0188,DEV0188,Redmi Note 12,Android 13,2023-08-17,2026-01-21
CLI0189,DEV0189,Moto G84,Android 14,2024-09-03,2025-05-28
CLI0190,DEV0190,Moto G84,Android 14,2022-03-28,2025-06-10
CLI0191,DEV0191,iPhone 14,iOS 17,2022-04-01,2025-11-03
CLI0192,DEV0192,Redmi Note 12,Android 13,2023-12-01,2025-02-15
CLI0193,DEV0193,Galaxy A54,Android 13,2024-02-13,2025-10-16
CLI0194,DEV0194,iPhone 15,iOS 18,2023-10-21,2025-07-09
CLI0195,DEV0195,Redmi Note 12,Android 13,2022-03-27,2025-10-10
CLI0196,DEV0196,iPhone 15,iOS 18,2024-04-20,2025-11-05
CLI0197,DEV0197,iPhone 15,iOS 18,2022-09-15,2025-02-03
CLI0198,DEV0198,Pixel 8,Android 14,2024-12-18,2025-03-05
CLI0199,DEV0199,Pixel 8,Android 14,2022-12-30,2025-10-08
CLI0200,DEV0200,Redmi Note 12,Android 13,2023-01-20,2025-09-28
CLI0201,DEV0201,Redmi Note 12,Android 13,2022-05-15,2025-03-14
CLI0202,DEV0202,Galaxy A54,Android 13,2023-09-02,2025-03-23
CLI0203,DEV0203,Galaxy A54,Android 13,2023-03-15,2025-02-23
CLI0204,DEV0204,Pixel 8,Android 14,2024-03-10,2025-05-30
CLI0205,DEV0205,Pixel 8,Android 14,2022-03-28,2025-04-06
CLI0206,DEV0206,Redmi Note 12,Android 13,2023-01-18,2025-05-31
CLI0207,DEV0207,Galaxy S23,Android 14,2024-04-22,2026-02-10
CLI0208,DEV0208,iPhone 14,iOS 17,2023-04-08,2026-01-10
CLI0209,DEV0209,Pixel 8,Android 14,2023-07-19,2025-06-19
CLI0210,DEV0210,Galaxy S23,Android 14,2022-04-28,2025-05-30
CLI0211,DEV0211,Pixel 8,Android 14,2024-12-13,2025-05-12
CLI0212,DEV0212,Pixel 8,Android 14,2022-07-29,2025-02-16
CLI0213,DEV0213,Redmi Note 12,Android 13,2022-09-11,2025-10-06
CLI0214,DEV0214,Galaxy A54,Android 13,2023-03-20,2025-03-10
CLI0215,DEV0215,Pixel 8,Android 14,2022-03-13,2026-01-06
CLI0216,DEV0216,Galaxy A54,Android 13,2022-07-15,2025-08-25
CLI0217,DEV0217,iPhone 15,iOS 18,2023-03-04,2026-02-25
CLI0218,DEV0218,iPhone 14,iOS 17,2022-09-19,2025-11-02
CLI0219,DEV0219,Galaxy A54,Android 13,2024-10-15,2025-05-16
CLI0220,DEV0220,Moto G84,Android 14,2023-03-14,2025-07-20
CLI0221,DEV0221,Galaxy S23,Android 14,2022-05-26,2026-02-18
CLI0222,DEV0222,Galaxy S23,Android 14,2023-04-08,2025-04-29
CLI0223,DEV0223,Pixel 8,Android 14,2024-04-14,2025-04-10
CLI0224,DEV0224,iPhone 14,iOS 17,2023-05-07,2025-08-20
CLI0225,DEV0225,Galaxy S23,Android 14,2022-03-16,2025-12-23
CLI0226,DEV0226,Pixel 8,Android 14,2024-01-22,2025-11-19
CLI0227,DEV0227,Galaxy A54,Android 13,2024-06-10,2026-02-09
CLI0228,DEV0228,Pixel 8,Android 14,2022-02-06,2025-01-22
CLI0229,DEV0229,Galaxy A54,Android 13,2024-03-25,2025-11-08
CLI0230,DEV0230,iPhone 14,iOS 17,2023-10-19,2026-01-17
CLI0231,DEV0231,Galaxy S23,Android 14,2022-04-17,2026-02-23
CLI0232,DEV0232,Galaxy A54,Android 13,2024-09-20,2025-08-06
CLI0233,DEV0233,Galaxy S23,Android 14,2022-03-24,2025-03-01
CLI0234,DEV0234,Pixel 8,Android 14,2023-02-02,2025-06-25
CLI0235,DEV0235,iPhone 14,iOS 17,2023-03-11,2025-04-30
CLI0236,DEV0236,Redmi Note 12,Android 13,2024-01-29,2025-08-20
CLI0237,DEV0237,Pixel 8,Android 14,2023-08-16,2025-05-27
CLI0238,DEV0238,Galaxy A54,Android 13,2024-05-11,2026-01-28
CLI0239,DEV0239,Moto G84,Android 14,2023-08-29,2025-03-16
CLI0240,DEV0240,Galaxy S23,Android 14,2022-07-30,2025-05-31
CLI0241,DEV0241,iPhone 15,iOS 18,2022-08-10,2025-04-05
CLI0242,DEV0242,iPhone 14,iOS 17,2024-04-15,2025-11-15
CLI0243,DEV0243,Galaxy A54,Android 13,2024-05-05,2025-01-16
CLI0244,DEV0244,Redmi Note 12,Android 13,2023-04-13,2025-09-24
CLI0245,DEV0245,iPhone 15,iOS 18,2022-02-05,2026-02-24
CLI0246,DEV0246,iPhone 15,iOS 18,2024-06-08,2025-06-24
CLI0247,DEV0247,Redmi Note 12,Android 13,2022-10-28,2025-08-11
CLI0248,DEV0248,Galaxy A54,Android 13,2022-05-30,2026-03-01
CLI0249,DEV0249,Redmi Note 12,Android 13,2022-10-26,2026-01-28
CLI0250,DEV0250,Galaxy S23,Android 14,2023-01-29,2026-02-02
CLI0251,DEV0251,Pixel 8,Android 14,2024-11-08,2025-05-20
CLI0252,DEV0252,Pixel 8,Android 14,2023-04-04,2025-01-01
CLI0253,DEV0253,iPhone 14,iOS 17,2022-04-23,2025-03-01
CLI0254,DEV0254,Pixel 8,Android 14,2023-11-17,2026-02-26
CLI0255,DEV0255,Moto G84,Android 14,2023-07-26,2025-02-11
CLI0256,DEV0256,Galaxy A54,Android 13,2024-04-15,2026-02-01
CLI0257,DEV0257,Redmi Note 12,Android 13,2022-10-22,2025-01-26
CLI0258,DEV0258,Galaxy A54,Android 13,2024-06-25,2025-11-03
CLI0259,DEV0259,Redmi Note 12,Android 13,2024-04-05,2026-01-26
CLI0260,DEV0260,Moto G84,Android 14,2022-07-08,2026-01-17
CLI0261,DEV0261,Moto G84,Android 14,2022-05-17,2026-01-29
CLI0262,DEV0262,iPhone 14,iOS 17,2023-02-04,2025-04-12
CLI0263,DEV0263,Galaxy S23,Android 14,2022-12-17,2025-04-14
CLI0264,DEV0264,iPhone 14,iOS 17,2024-08-08,2025-01-06
CLI0265,DEV0265,iPhone 14,iOS 17,2024-02-17,2025-02-27
CLI0266,DEV0266,iPhone 15,iOS 18,2024-08-15,2025-09-11
CLI0267,DEV0267,iPhone 15,iOS 18,2024-07-05,2025-02-08
CLI0268,DEV0268,Redmi Note 12,Android 13,2022-12-12,2025-10-24
CLI0269,DEV0269,iPhone 14,iOS 17,2022-07-13,2025-08-09
CLI0270,DEV0270,Redmi Note 12,Android 13,2023-05-28,2025-02-22
CLI0271,DEV0271,Redmi Note 12,Android 13,2024-10-20,2025-12-08
CLI0272,DEV0272,Redmi Note 12,Android 13,2022-07-08,2025-09-09
CLI0273,DEV0273,Moto G84,Android 14,2024-05-09,2025-03-29
CLI0274,DEV0274,Pixel 8,Android 14,2024-05-22,2026-02-28
CLI0275,DEV0275,iPhone 15,iOS 18,2023-10-15,2025-07-29
CLI0276,DEV0276,Pixel 8,Android 14,2024-05-27,2025-07-26
CLI0277,DEV0277,iPhone 15,iOS 18,2024-04-09,2025-09-23
CLI0278,DEV0278,Moto G84,Android 14,2022-10-22,2025-02-13
CLI0279,DEV0279,Galaxy S23,Android 14,2022-11-23,2025-02-14
CLI0280,DEV0280,Galaxy A54,Android 13,2022-08-03,2025-12-18
CLI0281,DEV0281,Redmi Note 12,Android 13,2022-12-23,2025-02-07
CLI0282,DEV0282,Moto G84,Android 14,2024-12-30,2026-01-31
CLI0283,DEV0283,Pixel 8,Android 14,2022-02-03,2025-03-23
CLI0284,DEV0284,Redmi Note 12,Android 13,2024-06-06,2026-01-04
CLI0285,DEV0285,Galaxy S23,Android 14,2023-11-23,2026-01-12
CLI0286,DEV0286,Galaxy S23,Android 14,2024-07-14,2025-11-17
CLI0287,DEV0287,Galaxy S23,Android 14,2023-01-02,2025-05-01
CLI0288,DEV0288,Moto G84,Android 14,2023-01-18,2025-01-14
CLI0289,DEV0289,Redmi Note 12,Android 13,2024-08-02,2025-09-11
CLI0290,DEV0290,Pixel 8,Android 14,2024-06-12,2025-09-16
CLI0291,DEV0291,Moto G84,Android 14,2023-02-06,2025-09-10
CLI0292,DEV0292,Galaxy A54,Android 13,2023-01-17,2025-12-16
CLI0293,DEV0293,iPhone 14,iOS 17,2024-01-09,2026-01-22
CLI0294,DEV0294,iPhone 14,iOS 17,2022-09-13,2025-03-27
CLI0295,DEV0295,Galaxy S23,Android 14,2023-05-30,2025-04-04
CLI0296,DEV0296,Galaxy S23,Android 14,2023-08-26,2025-04-06
CLI0297,DEV0297,Pixel 8,Android 14,2023-04-01,2025-04-10
CLI0298,DEV0298,iPhone 15,iOS 18,2023-06-18,2025-02-10
CLI0299,DEV0299,Galaxy S23,Android 14,2024-03-07,2025-03-27
CLI0300,DEV0300,Moto G84,Android 14,2024-01-28,2025-02-22
CLI0301,DEV0301,Galaxy S23,Android 14,2022-02-22,2025-11-27
CLI0302,DEV0302,Moto G84,Android 14,2023-10-19,2026-01-23
CLI0303,DEV0303,iPhone 15,iOS 18,2023-09-20,2025-11-18
CLI0304,DEV0304,Moto G84,Android 14,2024-09-18,2025-03-26
CLI0305,DEV0305,Pixel 8,Android 14,2022-03-19,2025-02-14
CLI0306,DEV0306,Galaxy S23,Android 14,2024-07-18,2025-02-25
CLI0307,DEV0307,Redmi Note 12,Android 13,2022-12-22,2025-07-07
CLI0308,DEV0308,iPhone 14,iOS 17,2023-05-03,2026-02-13
CLI0309,DEV0309,Pixel 8,Android 14,2022-11-03,2025-12-23
CLI0310,DEV0310,Pixel 8,Android 14,2023-12-26,2025-04-01
CLI0311,DEV0311,Galaxy A54,Android 13,2022-05-04,2025-11-06
CLI0312,DEV0312,iPhone 15,iOS 18,2023-04-27,2025-09-21
CLI0313,DEV0313,Galaxy S23,Android 14,2024-05-26,2025-08-02
CLI0314,DEV0314,Moto G84,Android 14,2024-06-24,2025-05-24
CLI0315,DEV0315,Moto G84,Android 14,2023-11-22,2026-01-15
CLI0316,DEV0316,Pixel 8,Android 14,2023-10-12,2026-02-08
CLI0317,DEV0317,Moto G84,Android 14,2022-09-01,2025-02-12
CLI0318,DEV0318,iPhone 14,iOS 17,2022-11-16,2026-02-15
CLI0319,DEV0319,iPhone 15,iOS 18,2022-08-26,2026-02-14
CLI0320,DEV0320,Galaxy S23,Android 14,2023-11-28,2025-09-04
CLI0321,DEV0321,Galaxy S23,Android 14,2023-09-14,2025-05-26
CLI0322,DEV0322,iPhone 15,iOS 18,2024-10-20,2025-12-20
CLI0323,DEV0323,iPhone 15,iOS 18,2022-01-14,2025-03-08
CLI0324,DEV0324,iPhone 15,iOS 18,2022-05-23,2025-09-27
CLI0325,DEV0325,iPhone 15,iOS 18,2022-05-09,2025-03-06
CLI0326,DEV0326,iPhone 14,iOS 17,2024-02-12,2026-01-14
CLI0327,DEV0327,Galaxy S23,Android 14,2024-09-29,2025-03-23
CLI0328,DEV0328,Moto G84,Android 14,2022-12-05,2026-01-28
CLI0329,DEV0329,Pixel 8,Android 14,2023-01-06,2025-06-29
CLI0330,DEV0330,Redmi Note 12,Android 13,2023-06-29,2025-09-05
CLI0331,DEV0331,Moto G84,Android 14,2022-07-04,2025-09-19
CLI0332,DEV0332,Galaxy A54,Android 13,2022-04-19,2025-10-09
CLI0333,DEV0333,iPhone 14,iOS 17,2024-07-25,2025-12-18
CLI0334,DEV0334,Galaxy S23,Android 14,2023-01-08,2025-03-30
CLI0335,DEV0335,iPhone 14,iOS 17,2024-05-24,2026-02-14
CLI0336,DEV0336,Moto G84,Android 14,2022-10-22,2025-05-02
CLI0337,DEV0337,Galaxy S23,Android 14,2023-09-23,2025-05-17
CLI0338,DEV0338,iPhone 15,iOS 18,2024-03-16,2025-05-29
CLI0339,DEV0339,Moto G84,Android 14,2024-10-17,2025-11-09
CLI0340,DEV0340,Moto G84,Android 14,2022-12-24,2025-08-14
CLI0341,DEV0341,Pixel 8,Android 14,2024-12-15,2025-09-12
CLI0342,DEV0342,Moto G84,Android 14,2023-05-13,2025-03-08
CLI0343,DEV0343,Redmi Note 12,Android 13,2022-04-22,2025-10-08
CLI0344,DEV0344,Galaxy A54,Android 13,2024-08-11,2025-09-23
CLI0345,DEV0345,Redmi Note 12,Android 13,2024-02-02,2025-12-08
CLI0346,DEV0346,iPhone 14,iOS 17,2022-03-24,2025-04-14
CLI0347,DEV0347,Pixel 8,Android 14,2023-10-19,2025-02-26
CLI0348,DEV0348,iPhone 14,iOS 17,2022-11-02,2025-11-26
CLI0349,DEV0349,Galaxy S23,Android 14,2023-02-12,2025-09-02
CLI0350,DEV0350,iPhone 14,iOS 17,2024-05-01,2025-08-29
CLI0351,DEV0351,iPhone 15,iOS 18,2024-03-25,2025-01-25
CLI0352,DEV0352,iPhone 14,iOS 17,2024-07-31,2025-07-29
CLI0353,DEV0353,iPhone 14,iOS 17,2022-08-19,2025-07-15
CLI0354,DEV0354,Moto G84,Android 14,2022-03-07,2025-08-17
CLI0355,DEV0355,iPhone 15,iOS 18,2023-03-15,2025-01-19
CLI0356,DEV0356,iPhone 15,iOS 18,2022-01-28,2025-12-05
CLI0357,DEV0357,Pixel 8,Android 14,2023-08-01,2025-04-01
CLI0358,DEV0358,iPhone 15,iOS 18,2023-11-22,2025-01-05
CLI0359,DEV0359,Galaxy A54,Android 13,2022-09-21,2025-01-09
CLI0360,DEV0360,Pixel 8,Android 14,2022-01-03,2026-02-17
