cliente_id,produto_id,vezes,valorTotal,ultimoUso
CLI0082,PR07,8,4627.54,2025-03-10
CLI0083,PR01,5,3262.66,2025-10-26
CLI0083,PR02,1,563.15,2026-01-22
CLI0083,PR09,4,2340.56,2025-01-26
CLI0084,PR02,12,8348.21,2025-08-13
CLI0084,PR05,10,8173.54,2025-05-17
CLI0084,PR06,1,877.88,2025-10-11
CLI0084,PR07,7,4030.68,2025-02-06
CLI0085,PR03,11,7346.8,2025-01-23
CLI0085,PR04,8,1582.1,2026-02-23
CLI0085,PR06,4,3494.84,2025-01-25
CLI0086,PR03,8,3973.66,2025-03-18
CLI0086,PR07,9,1935.25,2025-08-06
CLI0087,PR07,12,5871.7,2025-11-25
CLI0087,PR10,12,2579.56,2026-01-13
CLI0088,PR05,9,2837.66,2025-06-15
CLI0088,PR08,11,3909.02,2025-01-24
CLI0088,PR10,1,405.63,2025-08-25
CLI0089,PR01,5,2520.93,2025-08-06
CLI0089,PR02,2,979.82,2025-03-17
CLI0090,PR02,7,5185.96,2025-04-03
CLI0091,PR04,5,2356.07,2025-03-20
CLI0092,PR06,2,1163.11,2025-07-26
CLI0092,PR08,7,5567.21,2025-11-06
CLI0093,PR02,4,2417.84,2025-08-05
CLI0093,PR05,9,6971.58,2025-02-03
CLI0093,PR07,1,568.63,2025-05-29
CLI0094,PR01,4,3040.78,2026-02-03
CLI0095,PR02,11,1615.57,2026-02-26
CLI0095,PR03,10,3132.44,2025-06-07
CLI0095,PR04,3,1331.06,2025-04-17
CLI0096,PR02,1,853.5,2025-05-01
CLI0096,PR04,4,3230.44,2025-09-02
CLI0097,PR01,7,3930.0,2025-02-01
CLI0098,PR08,8,4270.87,2025-10-18
CLI0098,PR09,1,486.8,2025-06-17
CLI0099,PR06,12,2583.43,2025-02-13
CLI0099,PR08,1,329.18,2025-08-16
CLI0099,PR09,11,4932.15,2025-07-22
CLI0100,PR01,1,237.76,2025-11-08
CLI0100,PR02,9,3643.64,2026-01-15
CLI0101,PR02,10,2729.62,2025-11-19
CLI0101,PR03,5,4086.0,2025-03-31
CLI0101,PR10,6,852.0,2025-03-16
CLI0102,PR02,4,1878.4,2025-04-28
CLI0102,PR03,7,3437.48,2025-03-16
CLI0102,PR08,12,5696.63,2026-01-23
CLI0103,PR02,5,1695.94,2025-01-14
CLI0103,PR03,9,2434.85,2025-05-01
CLI0104,PR01,6,2759.71,2026-01-29
CLI0105,PR01,10,6912.54,2025-03-10
CLI0105,PR06,7,5119.47,2025-08-14
CLI0105,PR08,11,4808.47,2025-10-14
CLI0106,PR01,6,4435.89,2025-01-08
CLI0106,PR05,5,444.08,2025-02-27
CLI0106,PR08,1,373.95,2025-04-04
CLI0106,PR09,8,5958.03,2025-12-08
CLI0107,PR10,10,2694.51,2025-04-03
CLI0108,PR04,11,4267.65,2025-10-16
CLI0109,PR06,6,3829.49,2025-12-04
CLI0110,PR01,4,571.58,2025-08-13
CLI0110,PR05,9,4124.39,2025-04-22
CLI0111,PR08,3,1040.41,2025-12-28
CLI0111,PR10,8,6774.89,2025-10-16
CLI0112,PR08,4,1457.5,2025-01-17
CLI0112,PR09,4,3053.86,2025-12-18
CLI0113,PR02,2,552.09,2025-07-12
CLI0114,PR07,10,5450.44,2025-07-30
CLI0114,PR08,1,363.75,2025-11-05
CLI0114,PR09,5,3480.24,2025-09-07
CLI0115,PR02,7,3807.59,2025-12-24
CLI0115,PR03,1,524.75,2026-01-19
CLI0115,PR05,8,2356.31,2025-11-27
CLI0115,PR09,7,4138.25,2025-05-07
CLI0116,PR02,1,147.68,2025-09-02
CLI0116,PR06,12,8353.9,2025-11-11
CLI0116,PR10,12,5739.99,2026-01-27
CLI0117,PR01,7,4103.92,2025-03-29
CLI0117,PR06,12,5177.33,2026-01-01
CLI0117,PR08,12,3948.87,2026-01-10
CLI0118,PR01,6,3126.46,2025-06-14
CLI0118,PR04,7,3101.34,2025-11-29
CLI0119,PR07,10,6299.7,2025-02-23
CLI0119,PR10,2,1284.24,2025-11-04
CLI0120,PR03,5,759.3,2025-06-26
CLI0120,PR10,8,1657.91,2025-08-01
CLI0121,PR01,7,5564.11,2025-10-30
CLI0121,PR05,3,2397.25,2025-09-08
CLI0121,PR06,10,5503.22,2025-08-16
CLI0122,PR05,5,1433.27,2025-12-06
CLI0122,PR10,10,8471.8,2025-02-11
CLI0123,PR03,12,3764.45,2025-05-11
CLI0123,PR06,5,2834.06,2025-09-05
CLI0124,PR01,2,840.26,2025-05-18
CLI0125,PR05,3,1998.74,2025-11-02
CLI0125,PR06,3,1725.65,2025-10-02
CLI0125,PR07,9,6428.61,2025-11-04
CLI0126,PR04,3,488.14,2025-06-01
CLI0126,PR06,8,3058.39,2025-02-27
CLI0127,PR04,7,2206.46,2025-01-14
CLI0127,PR06,7,1183.17,2025-04-06
CLI0128,PR01,4,2027.51,2025-06-03
CLI0128,PR02,6,2622.75,2025-06-11
CLI0128,PR09,2,785.03,2025-06-03
CLI0129,PR03,6,1874.32,2025-10-04
CLI0129,PR07,9,4479.72,2025-09-12
CLI0130,PR05,8,6524.38,2026-01-18
CLI0130,PR08,7,2626.53,2026-02-11
CLI0131,PR01,6,4254.56,2026-01-19
CLI0132,PR03,2,735.56,2025-08-26
CLI0132,PR07,4,1121.76,2025-06-02
CLI0132,PR10,5,2911.98,2026-01-28
CLI0133,PR02,8,6216.9,2026-01-12
CLI0134,PR01,7,3252.99,2025-04-14
CLI0134,PR05,1,533.95,2025-05-19
CLI0135,PR01,11,3570.1,2025-05-26
CLI0135,PR07,4,1843.42,2026-02-02
CLI0136,PR08,12,8979.71,2025-10-11
CLI0137,PR03,12,9743.0,2025-04-20
CLI0137,PR04,2,1248.23,2025-03-28
CLI0138,PR02,5,3316.67,2025-11-29
CLI0138,PR04,5,445.4,2025-05-13
CLI0139,PR07,5,3512.78,2025-01-11
CLI0139,PR10,2,1600.87,2025-05-25
CLI0140,PR03,9,2800.76,2025-10-15
CLI0140,PR07,5,1739.95,2025-11-24
CLI0140,PR10,12,1034.25,2025-06-20
CLI0141,PR01,2,1424.15,2025-10-03
CLI0141,PR03,2,1175.22,2025-05-31
CLI0141,PR04,6,2615.08,2025-09-14
CLI0142,PR07,9,7691.21,2025-06-23
CLI0142,PR08,11,9258.01,2025-02-20
CLI0142,PR09,6,4388.62,2025-10-15
CLI0143,PR08,11,1088.7,2025-09-18
CLI0144,PR01,2,1115.62,2025-03-01
CLI0144,PR07,9,7032.21,2026-02-22
CLI0144,PR10,7,2641.97,2025-08-04
CLI0145,PR03,5,3614.21,2026-01-08
CLI0145,PR09,4,1245.82,2025-09-26
CLI0146,PR01,8,4681.59,2025-05-18
CLI0146,PR02,1,393.6,2025-07-30
CLI0147,PR01,9,5173.33,2025-03-12
CLI0148,PR02,5,4144.89,2025-06-07
CLI0148,PR04,8,5837.52,2025-12-04
CLI0149,PR02,12,7195.27,2026-01-11
CLI0149,PR04,5,405.9,2026-02-06
CLI0150,PR05,2,1454.15,2026-02-22
CLI0151,PR01,4,1091.98,2025-05-20
CLI0152,PR03,11,2697.35,2025-05-26
CLI0152,PR05,8,2039.71,2026-01-27
CLI0152,PR10,12,4339.61,2025-08-07
CLI0153,PR02,11,5879.41,2025-11-27
CLI0153,PR03,1,664.58,2025-03-17
CLI0153,PR04,2,596.58,2025-01-24
CLI0154,PR03,11,6780.68,2025-10-01
CLI0154,PR07,12,8529.95,2025-03-17
CLI0154,PR08,5,4245.63,2026-01-22
CLI0155,PR02,9,5951.71,2025-02-21
CLI0155,PR04,1,205.89,2025-05-30
CLI0155,PR10,2,1365.89,2025-01-15
CLI0156,PR03,8,2351.61,2025-02-08
CLI0156,PR04,9,5815.06,2025-10-06
CLI0157,PR07,1,486.66,2025-04-01
CLI0158,PR04,12,2628.13,2025-09-01
CLI0158,PR05,1,750.05,2025-05-29
CLI0158,PR06,12,1768.49,2025-05-07
CLI0159,PR03,1,443.67,2026-01-25
CLI0159,PR07,2,1124.96,2025-07-29
CLI0160,PR02,1,574.35,2026-02-16
CLI0160,PR03,8,5706.29,2026-01-27
CLI0160,PR10,12,6930.88,2025-06-30
CLI0161,PR08,1,585.64,2025-12-07
CLI0162,PR08,12,4617.82,2025-07-17
CLI0162,PR09,5,4075.76,2025-06-04
CLI0163,PR03,4,2426.53,2026-02-10
CLI0164,PR07,11,6942.76,2025-02-03
CLI0164,PR10,12,5463.79,2025-06-04
CLI0165,PR03,5,2046.67,2025-06-03
CLI0166,PR01,5,779.37,2025-08-27
CLI0167,PR04,5,601.76,2025-11-28
CLI0168,PR05,9,5602.91,2025-07-24
CLI0168,PR09,9,5859.89,2025-05-29
CLI0169,PR04,8,5411.14,2025-08-16
CLI0170,PR01,5,3299.77,2025-01-30
CLI0170,PR05,12,2231.88,2025-08-29
CLI0171,PR01,4,1963.23,2026-01-14
CLI0171,PR03,11,6116.85,2025-06-23
CLI0171,PR05,9,3362.39,2025-07-20
CLI0172,PR03,6,4702.8,2025-03-19
CLI0172,PR07,6,3979.63,2025-08-25
CLI0172,PR10,1,248.01,2025-12-07
CLI0173,PR02,7,4916.65,2025-11-01
CLI0174,PR01,2,548.25,2025-10-30
CLI0174,PR09,1,707.31,2025-06-01
CLI0175,PR02,8,4504.62,2025-05-30
CLI0175,PR07,2,318.62,2026-02-24
CLI0176,PR08,5,2740.19,2025-04-10
CLI0177,PR01,12,10143.46,2026-01-08
CLI0177,PR06,6,745.85,2025-04-08
CLI0177,PR08,3,1182.49,2026-01-17
CLI0178,PR07,7,916.59,2025-11-24
CLI0178,PR10,12,2499.12,2026-01-06
CLI0179,PR02,12,1156.41,2025-04-26
CLI0179,PR04,12,3449.02,2025-10-25
CLI0179,PR07,8,874.51,2025-07-12
CLI0180,PR08,2,759.97,2025-10-31
CLI0181,PR07,4,2226.82,2025-07-24
CLI0181,PR08,12,2266.43,2025-04-27
CLI0182,PR05,6,5043.15,2025-07-13
CLI0182,PR06,12,6281.25,2026-01-09
CLI0183,PR02,11,2107.93,2025-12-30
CLI0183,PR03,11,9024.91,2025-08-22
CLI0183,PR04,10,6657.24,2025-11-15
CLI0184,PR02,12,1461.76,2025-12-19
CLI0184,PR04,11,3446.7,2025-03-23
CLI0184,PR05,3,1323.31,2026-01-18
CLI0185,PR02,8,6208.92,2025-04-10
CLI0186,PR07,9,6522.8,2025-12-06
CLI0187,PR10,9,1157.08,2025-01-28
CLI0188,PR01,4,2952.53,2025-04-13
CLI0189,PR01,5,1775.0,2026-02-03
CLI0189,PR02,3,1852.91,2025-11-26
CLI0189,PR05,3,911.07,2026-02-02
CLI0190,PR01,8,922.27,2025-04-22
CLI0190,PR02,3,623.84,2026-01-06
CLI0191,PR03,2,1509.16,2025-04-12
CLI0191,PR08,12,4200.39,2025-07-10
CLI0192,PR03,8,7009.98,2025-09-01
CLI0192,PR05,5,3657.42,2025-08-12
CLI0193,PR04,11,1806.98,2025-11-12
CLI0194,PR02,5,4006.29,2025-10-19
CLI0194,PR03,5,897.93,2025-03-11
CLI0195,PR01,8,5149.21,2026-01-03
CLI0196,PR02,8,2413.28,2025-01-12
CLI0196,PR06,8,2015.63,2025-09-18
CLI0196,PR08,10,4913.54,2026-01-02
CLI0196,PR09,5,3745.19,2025-04-21
CLI0197,PR02,10,3952.89,2025-01-04
CLI0197,PR06,4,2732.95,2026-01-03
CLI0197,PR08,11,5208.08,2026-01-19
CLI0198,PR02,9,2200.46,2025-10-07
CLI0198,PR08,4,1567.98,2025-04-03
CLI0199,PR01,7,3329.83,2026-01-17
CLI0199,PR07,7,3618.22,2025-05-21
CLI0200,PR03,8,3014.09,2025-11-04
CLI0200,PR07,1,608.58,2025-03-01
CLI0201,PR09,10,7470.05,2025-01-17
CLI0202,PR02,5,1178.77,2025-10-09
CLI0202,PR05,7,2905.4,2025-06-21
CLI0202,PR07,8,736.37,2025-06-05
CLI0203,PR08,10,3146.23,2026-01-23
CLI0203,PR09,11,7708.47,2025-03-20
CLI0204,PR05,3,1258.51,2025-12-28
CLI0205,PR02,10,3897.33,2025-05-19
CLI0205,PR03,2,446.92,2025-06-15
CLI0205,PR07,8,5993.29,2025-01-23
CLI0205,PR09,6,2945.76,2025-05-29
CLI0206,PR03,5,2439.64,2025-09-20
CLI0206,PR06,12,1891.68,2025-03-07
CLI0207,PR04,11,5412.82,2026-02-07
CLI0207,PR06,6,4364.22,2025-12-31
CLI0208,PR03,7,2083.78,2025-06-08
CLI0208,PR04,10,981.57,2025-11-11
CLI0208,PR08,5,2862.53,2025-05-04
CLI0209,PR01,1,796.16,2025-04-23
CLI0209,PR08,1,403.62,2026-01-01
CLI0210,PR01,3,1632.0,2025-01-17
CLI0210,PR02,11,3401.06,2025-11-06
CLI0210,PR07,4,799.54,2025-01-10
CLI0211,PR06,5,1114.71,2025-02-12
CLI0212,PR03,12,1519.62,2025-07-15
CLI0213,PR02,8,948.41,2026-01-14
CLI0213,PR03,2,563.36,2026-01-21
CLI0214,PR09,3,1330.46,2025-05-10
CLI0215,PR01,3,2150.26,2025-10-31
CLI0215,PR09,10,6119.38,2025-10-20
CLI0216,PR07,5,2425.62,2025-08-10
CLI0217,PR02,3,2397.38,2026-01-29
CLI0217,PR08,3,1195.74,2026-02-15
CLI0218,PR01,3,2296.19,2025-01-12
CLI0219,PR07,7,883.63,2025-12-14
CLI0220,PR02,1,754.26,2025-01-07
CLI0220,PR10,9,6150.84,2025-09-16
CLI0221,PR02,5,2455.07,2025-06-26
CLI0221,PR04,5,4251.16,2025-07-06
CLI0222,PR07,1,286.06,2025-01-23
CLI0223,PR07,5,4410.86,2026-01-07
CLI0223,PR09,8,3135.14,2025-02-16
CLI0223,PR10,12,3249.57,2025-01-22
CLI0224,PR01,9,5298.61,2026-01-31
CLI0224,PR03,3,511.41,2026-02-23
CLI0224,PR08,2,1764.38,2025-07-21
CLI0225,PR01,12,7148.17,2025-09-04
CLI0225,PR09,5,2788.33,2025-03-12
CLI0226,PR02,2,214.48,2025-04-03
CLI0226,PR06,1,660.67,2026-01-12
CLI0226,PR10,5,4429.28,2025-02-25
CLI0227,PR02,4,2080.23,2025-10-18
CLI0227,PR03,1,523.96,2025-10-27
CLI0227,PR04,2,1584.94,2025-01-30
CLI0228,PR02,8,3339.73,2025-03-31
CLI0228,PR06,12,5950.82,2025-07-18
CLI0228,PR09,8,5157.88,2025-02-07
CLI0229,PR04,5,4498.3,2025-10-24
CLI0229,PR09,1,602.94,2026-02-02
CLI0230,PR08,1,254.56,2025-02-21
CLI0231,PR02,11,9711.22,2025-08-31
CLI0231,PR06,1,278.96,2025-08-02
CLI0232,PR04,8,4362.84,2025-06-25
CLI0232,PR08,1,101.98,2025-02-12
CLI0232,PR10,9,3260.46,2025-08-12
CLI0233,PR06,6,1865.41,2025-10-28
CLI0233,PR10,2,1210.99,2026-02-28
CLI0234,PR03,9,2818.85,2025-10-11
CLI0234,PR04,11,5265.6,2025-04-09
CLI0234,PR06,7,4471.54,2025-10-23
CLI0235,PR06,9,3198.22,2025-09-29
CLI0235,PR10,10,3629.02,2025-07-04
CLI0236,PR01,1,379.4,2025-03-17
CLI0236,PR03,3,2030.47,2025-01-29
CLI0237,PR04,11,6009.66,2025-11-21
CLI0237,PR08,7,5746.59,2025-11-04
CLI0238,PR04,5,4362.23,2025-02-07
CLI0238,PR10,7,3857.02,2025-03-15
CLI0239,PR01,9,5995.0,2025-02-02
CLI0239,PR06,11,8099.53,2026-02-21
CLI0239,PR08,6,4865.74,2026-02-08
CLI0240,PR02,1,93.01,2025-09-26
CLI0240,PR03,2,478.73,2025-02-10
CLI0240,PR04,1,664.83,2025-09-09
CLI0241,PR01,12,1085.24,2025-07-08
CLI0241,PR05,10,6039.47,2025-10-17
CLI0242,PR06,3,996.81,2025-06-20
CLI0243,PR01,12,9670.88,2025-01-22
CLI0243,PR02,3,553.16,2025-11-12
CLI0243,PR06,9,2941.85,2025-03-24
CLI0243,PR08,1,815.78,2025-10-13
CLI0244,PR03,2,1127.56,2026-01-12
CLI0244,PR06,7,1098.25,2026-02-05
CLI0245,PR01,11,5796.94,2025-03-02
CLI0245,PR09,4,856.93,2025-02-27
CLI0246,PR05,8,2315.57,2025-11-15
CLI0246,PR07,6,1808.52,2025-12-25
CLI0246,PR09,10,3409.56,2025-09-14
CLI0247,PR06,11,5311.47,2025-09-09
CLI0247,PR10,3,506.63,2025-07-08
CLI0248,PR02,5,1166.03,2025-06-09
CLI0248,PR03,4,625.48,2025-02-18
CLI0248,PR07,6,2022.0,2025-05-25
CLI0249,PR08,12,8093.85,2025-07-22
CLI0249,PR09,11,3150.43,2025-06-20
CLI0250,PR07,10,1488.9,2025-12-04
CLI0251,PR01,11,7576.12,2025-06-24
CLI0251,PR08,10,5217.18,2025-10-03
CLI0251,PR09,9,4681.34,2025-11-21
CLI0252,PR02,7,1043.3,2025-04-28
CLI0252,PR08,3,1746.17,2025-12-22
CLI0253,PR06,1,793.24,2026-01-08
CLI0254,PR05,7,2630.16,2025-03-25
CLI0254,PR07,12,9441.79,2025-07-01
CLI0254,PR10,11,9388.2,2025-04-20
CLI0255,PR03,2,1595.01,2026-02-15
CLI0255,PR10,12,3099.07,2025-04-16
CLI0256,PR01,7,2261.47,2025-03-08
CLI0256,PR10,3,268.31,2025-02-24
CLI0257,PR05,1,695.56,2026-01-28
CLI0257,PR07,6,1775.6,2025-06-05
CLI0258,PR05,10,5214.6,2025-06-04
CLI0258,PR06,4,1929.12,2025-03-10
CLI0258,PR08,8,6223.56,2025-08-23
CLI0259,PR05,3,2423.07,2025-06-27
CLI0260,PR04,10,7605.03,2025-10-23
CLI0260,PR05,5,1921.24,2025-01-25
CLI0261,PR07,3,1157.14,2025-04-14
CLI0261,PR10,12,4617.15,2026-01-21
CLI0262,PR02,4,2082.44,2025-04-16
CLI0262,PR08,10,7245.77,2025-11-18
CLI0263,PR08,11,3416.63,2025-05-02
CLI0264,PR01,4,1366.54,2025-02-04
CLI0264,PR03,1,266.67,2025-11-27
CLI0264,PR08,7,4004.0,2026-02-19
CLI0265,PR02,4,1980.39,2025-09-23
CLI0265,PR06,10,3814.34,2025-01-26
CLI0266,PR02,10,2728.59,2025-01-07
CLI0266,PR08,6,4578.89,2026-02-01
CLI0267,PR06,9,6910.55,2025-03-24
CLI0268,PR04,7,3955.6,2025-02-11
CLI0269,PR04,1,535.67,2025-04-29
CLI0270,PR01,1,118.59,2025-06-27
CLI0270,PR05,3,2484.93,2026-01-16
CLI0270,PR09,2,354.27,2025-11-22
CLI0271,PR02,5,1812.41,2025-08-22
CLI0271,PR05,5,1634.91,2025-05-28
CLI0271,PR06,6,644.19,2025-12-03
CLI0271,PR09,11,1045.97,2025-05-09
CLI0272,PR01,7,5528.6,2026-02-03
CLI0272,PR06,5,1868.54,2025-02-25
CLI0272,PR07,3,2114.66,2026-02-17
CLI0273,PR04,4,1102.65,2025-08-20
CLI0273,PR07,6,1353.09,2025-08-04
CLI0274,PR01,5,2743.53,2025-04-01
CLI0274,PR03,12,7486.11,2025-01-11
CLI0274,PR08,7,5906.5,2025-06-05
CLI0275,PR04,7,1610.82,2026-01-05
CLI0275,PR10,8,3140.05,2026-02-02
CLI0276,PR06,12,4711.66,2025-05-20
CLI0276,PR07,6,1873.22,2025-08-07
CLI0277,PR01,6,1167.07,2025-11-05
CLI0277,PR03,6,2885.93,2025-12-17
CLI0277,PR04,4,3455.06,2025-09-07
CLI0277,PR07,7,4999.0,2025-12-12
CLI0278,PR02,3,292.4,2025-05-16
CLI0278,PR04,6,1043.0,2025-08-08
CLI0279,PR06,5,4188.41,2025-10-07
CLI0280,PR03,5,3575.56,2025-02-25
CLI0280,PR04,4,2838.71,2025-02-20
