acao_id,acesso_id,tipo,dataHora,produto_id
ACAO00000126,AC0006747,PagarPix,2025-09-07T23:55:49,
ACAO00000127,AC0038867,ConsultarSaldo,2025-09-05T02:14:09,
ACAO00000128,AC0030552,PagarPix,2025-10-03T09:36:24,
ACAO00000129,AC0010781,ConsultarSaldo,2026-03-01T13:21:36,
ACAO00000130,AC0022108,ConsultarSaldo,2025-12-16T09:53:18,
ACAO00000131,AC0041732,AlterarDadosCadastrais,2025-09-24T08:28:21,
ACAO00000132,AC0052117,ConsultarSaldo,2025-11-20T23:18:28,
ACAO00000133,AC0052277,ConsultarExtrato,2025-09-06T22:55:03,
ACAO00000134,AC0044749,ConsultarExtrato,2026-02-02T07:56:38,
ACAO00000135,AC0009945,ConsultarSaldo,2026-02-10T06:27:29,
ACAO00000136,AC0031989,PagarPix,2026-01-01T18:50:09,
ACAO00000137,AC0028648,IniciarContratacao,2026-02-22T04:32:52,PR09
ACAO00000138,AC0039257,ConsultarSaldo,2026-02-07T08:23:41,
ACAO00000139,AC0020420,IniciarContratacao,2025-10-04T21:10:54,PR01
ACAO00000140,AC0014288,IniciarContratacao,2025-10-05T01:56:48,PR06
ACAO00000141,AC0000773,VisualizarProduto,2026-01-25T14:53:16,PR02
ACAO00000142,AC0004823,SimularEmprestimo,2025-09-09T16:57:31,PR10
ACAO00000143,AC0007043,PagarPix,2026-01-08T00:42:57,
ACAO00000144,AC0046117,PagarPix,2025-11-23T07:25:11,
ACAO00000145,AC0010731,ConsultarExtrato,2026-01-07T05:45:12,
ACAO00000146,AC0005362,PagarPix,2026-01-16T13:03:57,
ACAO00000147,AC0051834,VisualizarProduto,2025-10-31T03:26:57,PR06
ACAO00000148,AC0018621,PagarPix,2025-10-20T02:36:00,
ACAO00000149,AC0034684,ConsultarSaldo,2025-12-21T19:09:17,
ACAO00000150,AC0028813,VisualizarProduto,2025-12-26T12:11:56,PR06
ACAO00000151,AC0048999,ConsultarSaldo,2026-02-07T13:33:37,
ACAO00000152,AC0045974,PagarPix,2026-01-12T03:46:04,
ACAO00000153,AC0028953,ConsultarSaldo,2025-12-04T15:46:04,
ACAO00000154,AC0038261,ConsultarExtrato,2025-09-03T02:20:09,
ACAO00000155,AC0037436,ConsultarSaldo,2025-09-19T21:28:50,
ACAO00000156,AC0041967,ConsultarSaldo,2025-12-31T15:39:03,
ACAO00000157,AC0037970,ConsultarSaldo,2026-01-31T16:27:40,
ACAO00000158,AC0001812,ConsultarExtrato,2025-11-06T00:06:38,
ACAO00000159,AC0046432,VisualizarProduto,2026-01-22T00:26:23,PR06
ACAO00000160,AC0028984,ConsultarSaldo,2025-09-07T17:06:15,
ACAO00000161,AC0034554,ConsultarSaldo,2026-01-25T11:37:03,
ACAO00000162,AC0031534,SimularEmprestimo,2025-12-19T08:34:36,PR03
ACAO00000163,AC0036849,ConsultarSaldo,2026-01-06T10:12:57,
ACAO00000164,AC0039364,ConsultarExtrato,2026-01-09T19:28:34,
ACAO00000165,AC0007935,ConsultarExtrato,2025-12-18T06:03:16,
ACAO00000166,AC0044106,ConsultarExtrato,2025-10-29T02:10:35,
ACAO00000167,AC0000602,PagarPix,2025-09-19T02:11:40,
ACAO00000168,AC0047808,SimularEmprestimo,2025-09-26T15:56:23,PR08
ACAO00000169,AC0037210,SimularEmprestimo,2025-09-11T06:03:11,PR02
ACAO00000170,AC0039674,AbrirChamado,2025-10-01T08:19:48,
ACAO00000171,AC0039811,PagarPix,2025-09-29T15:53:23,
ACAO00000172,AC0011576,VisualizarProduto,2025-11-30T19:39:24,PR06
ACAO00000173,AC0041591,IniciarContratacao,2025-09-29T12:47:13,PR07
ACAO00000174,AC0007741,VisualizarProduto,2025-12-16T14:10:59,PR05
ACAO00000175,AC0013531,ConsultarExtrato,2025-11-08T09:56:33,
ACAO00000176,AC0021047,ConsultarExtrato,2025-09-26T22:55:25,
ACAO00000177,AC0008112,IniciarContratacao,2025-09-12T02:51:28,PR06
ACAO00000178,AC0000692,ConsultarSaldo,2025-10-16T20:31:38,
ACAO00000179,AC0008483,ConsultarSaldo,2025-12-13T14:07:11,
ACAO00000180,AC0012158,PagarPix,2025-11-19T21:57:52,
ACAO00000181,AC0017677,AlterarDadosCadastrais,2026-01-25T15:45:50,
ACAO00000182,AC0025977,PagarPix,2025-12-26T05:53:08,
ACAO00000183,AC0019815,AbrirChamado,2025-12-22T19:57:33,
ACAO00000184,AC0024984,ConsultarSaldo,2025-10-23T05:44:51,
ACAO00000185,AC0005347,PagarPix,2025-11-25T11:38:45,
ACAO00000186,AC0025037,SimularEmprestimo,2025-10-08T06:41:33,PR01
ACAO00000187,AC0023117,PagarPix,2025-10-25T23:13:38,
ACAO00000188,AC0003010,VisualizarProduto,2025-11-27T16:32:41,PR04
ACAO00000189,AC0030323,ConsultarSaldo,2026-02-16T04:37:36,
ACAO00000190,AC0040699,SimularEmprestimo,2025-11-22T09:26:17,PR02
ACAO00000191,AC0041245,PagarPix,2026-02-02T01:14:53,
ACAO00000192,AC0048600,PagarPix,2026-02-20T10:25:25,
ACAO00000193,AC0013079,AbrirChamado,2025-12-27T21:54:04,
ACAO00000194,AC0035817,IniciarContratacao,2025-09-15T06:13:53,PR01
ACAO00000195,AC0007596,ConsultarSaldo,2026-02-27T13:33:41,
ACAO00000196,AC0034226,PagarPix,2025-11-24T02:04:00,
ACAO00000197,AC0044464,PagarPix,2025-10-15T12:25:59,
ACAO00000198,AC0023476,ConsultarExtrato,2026-01-27T06:24:48,
ACAO00000199,AC0008710,VisualizarProduto,2025-12-12T19:14:43,PR03
ACAO00000200,AC0028690,ConsultarExtrato,2025-11-16T19:12:49,
ACAO00000201,AC0008433,SimularEmprestimo,2026-01-24T04:39:27,PR09
ACAO00000202,AC0012695,ConsultarSaldo,2025-12-18T08:30:46,
ACAO00000203,AC0009536,ConsultarSaldo,2026-02-28T21:46:37,
ACAO00000204,AC0020224,AlterarDadosCadastrais,2025-10-17T10:44:02,
ACAO00000205,AC0049397,IniciarContratacao,2026-02-03T10:58:08,PR10
ACAO00000206,AC0036798,SimularEmprestimo,2025-12-30T15:51:33,PR05
ACAO00000207,AC0018398,ConsultarSaldo,2025-11-18T02:59:15,
ACAO00000208,AC0052385,ConsultarExtrato,2025-10-18T15:46:09,
ACAO00000209,AC0027318,PagarPix,2026-01-21T13:10:08,
ACAO00000210,AC0027296,ConsultarExtrato,2026-02-20T10:09:40,
ACAO00000211,AC0044542,IniciarContratacao,2025-11-29T00:41:54,PR02
ACAO00000212,AC0021380,ConsultarSaldo,2025-09-14T14:12:32,
ACAO00000213,AC0050319,ConsultarExtrato,2025-10-11T01:10:41,
ACAO00000214,AC0015276,ConsultarSaldo,2025-12-17T03:07:35,
ACAO00000215,AC0009786,ConsultarSaldo,2026-01-12T17:04:32,
ACAO00000216,AC0010996,ConsultarSaldo,2026-02-05T17:10:04,
ACAO00000217,AC0004099,AbrirChamado,2025-10-18T06:46:24,
ACAO00000218,AC0052326,AlterarDadosCadastrais,2025-10-04T19:00:06,
ACAO00000219,AC0019239,ConsultarSaldo,2025-09-28T14:23:12,
ACAO00000220,AC0048322,ConsultarSaldo,2025-09-03T14:30:04,
ACAO00000221,AC0016274,PagarPix,2026-02-19T22:28:22,
ACAO00000222,AC0012297,ConsultarExtrato,2025-09-13T20:46:36,
ACAO00000223,AC0041679,AbrirChamado,2026-02-16T05:07:23,
ACAO00000224,AC0013332,ConsultarExtrato,2026-01-18T16:55:31,
ACAO00000225,AC0008622,PagarPix,2026-01-03T13:17:40,
ACAO00000226,AC0005303,PagarPix,2025-09-04T07:51:11,
ACAO00000227,AC0049610,ConsultarSaldo,2025-09-19T16:28:22,
ACAO00000228,AC0041033,ConsultarSaldo,2026-01-01T11:39:23,
ACAO00000229,AC0015688,VisualizarProduto,2025-11-21T19:53:24,PR08
ACAO00000230,AC0007953,PagarPix,2026-01-09T10:25:41,
ACAO00000231,AC0022941,ConsultarExtrato,2026-01-13T05:44:56,
ACAO00000232,AC0009111,ConsultarExtrato,2025-11-18T22:31:09,
ACAO00000233,AC0025301,VisualizarProduto,2025-09-28T04:13:22,PR10
ACAO00000234,AC0052133,AbrirChamado,2025-11-04T18:38:55,
ACAO00000235,AC0043096,ConsultarExtrato,2026-01-03T02:11:16,
ACAO00000236,AC0049074,PagarPix,2025-10-07T12:47:13,
ACAO00000237,AC0021519,AbrirChamado,2025-10-07T08:30:30,
ACAO00000238,AC0032189,ConsultarExtrato,2025-09-18T19:29:36,
ACAO00000239,AC0021192,ConsultarSaldo,2025-11-13T19:23:46,
ACAO00000240,AC0008696,IniciarContratacao,2026-01-25T12:15:02,PR03
ACAO00000241,AC0032183,IniciarContratacao,2026-01-21T13:17:30,PR03
ACAO00000242,AC0031293,SimularEmprestimo,2025-11-07T11:18:17,PR02
ACAO00000243,AC0016588,AlterarDadosCadastrais,2025-11-18T14:36:23,
ACAO00000244,AC0022104,IniciarContratacao,2026-02-04T21:05:04,PR07
ACAO00000245,AC0038778,AbrirChamado,2025-12-19T10:32:37,
ACAO00000246,AC0023294,PagarPix,2025-12-25T15:42:42,
ACAO00000247,AC0034461,PagarPix,2025-09-02T01:06:43,
ACAO00000248,AC0026391,ConsultarSaldo,2026-01-15T07:31:46,
ACAO00000249,AC0012235,ConsultarExtrato,2025-12-22T03:58:07,
ACAO00000250,AC0038390,VisualizarProduto,2026-01-01T19:39:30,PR03
ACAO00000251,AC0008805,VisualizarProduto,2025-11-11T05:11:33,PR01
ACAO00000252,AC0011870,ConsultarSaldo,2026-02-27T10:15:21,
ACAO00000253,AC0009465,VisualizarProduto,2026-02-08T00:15:37,PR06
ACAO00000254,AC0047077,ConsultarSaldo,2025-09-23T13:27:01,
ACAO00000255,AC0024230,ConsultarSaldo,2026-02-09T05:15:24,
ACAO00000256,AC0016976,ConsultarSaldo,2025-11-02T17:02:24,
ACAO00000257,AC0040741,PagarPix,2025-11-10T16:17:42,
ACAO00000258,AC0019513,ConsultarExtrato,2026-01-24T02:20:32,
ACAO00000259,AC0041634,PagarPix,2026-01-31T06:01:00,
ACAO00000260,AC0010926,ConsultarExtrato,2025-09-19T23:47:45,
ACAO00000261,AC0036548,ConsultarExtrato,2025-12-10T11:33:27,
ACAO00000262,AC0032653,ConsultarSaldo,2025-12-09T15:17:01,
ACAO00000263,AC0027693,ConsultarSaldo,2025-12-01T04:59:00,
ACAO00000264,AC0038087,PagarPix,2025-10-14T13:53:42,
ACAO00000265,AC0037575,ConsultarSaldo,2025-09-09T17:08:55,
ACAO00000266,AC0012435,ConsultarSaldo,2025-10-07T16:59:21,
ACAO00000267,AC0027207,ConsultarSaldo,2025-11-29T17:07:17,
ACAO00000268,AC0048532,ConsultarSaldo,2025-12-15T18:57:57,
ACAO00000269,AC0039467,PagarPix,2026-01-04T01:28:28,
ACAO00000270,AC0019048,SimularEmprestimo,2025-09-27T03:23:04,PR02
ACAO00000271,AC0007095,ConsultarSaldo,2025-12-19T16:09:25,
ACAO00000272,AC0005432,SimularEmprestimo,2025-12-23T13:16:18,PR09
ACAO00000273,AC0031162,ConsultarSaldo,2025-11-19T17:35:10,
ACAO00000274,AC0008797,VisualizarProduto,2026-02-12T15:20:23,PR04
ACAO00000275,AC0005304,AbrirChamado,2025-11-16T06:13:00,
ACAO00000276,AC0011478,PagarPix,2025-10-03T02:24:47,
ACAO00000277,AC0045187,ConsultarSaldo,2026-01-21T09:57:59,
ACAO00000278,AC0045740,ConsultarSaldo,2026-02-18T23:56:08,
ACAO00000279,AC0010340,ConsultarSaldo,2025-09-24T13:53:22,
ACAO00000280,AC0014027,AbrirChamado,2025-12-14T20:05:50,
ACAO00000281,AC0022597,IniciarContratacao,2026-02-03T10:32:36,PR07
ACAO00000282,AC0036677,VisualizarProduto,2026-02-22T05:11:43,PR01
ACAO00000283,AC0009616,ConsultarSaldo,2025-09-17T12:15:43,
ACAO00000284,AC0038681,ConsultarSaldo,2026-01-27T01:46:59,
ACAO00000285,AC0025042,ConsultarExtrato,2025-12-07T19:17:32,
ACAO00000286,AC0029657,IniciarContratacao,2025-09-19T21:43:49,PR07
ACAO00000287,AC0003927,VisualizarProduto,2025-11-06T12:35:35,PR02
ACAO00000288,AC0008039,ConsultarExtrato,2025-10-05T01:24:18,
ACAO00000289,AC0020356,IniciarContratacao,2025-11-17T14:07:19,PR06
ACAO00000290,AC0001060,VisualizarProduto,2025-12-27T22:43:32,PR06
ACAO00000291,AC0036320,ConsultarExtrato,2026-02-07T20:49:09,
ACAO00000292,AC0000531,SimularEmprestimo,2025-11-24T19:50:29,PR07
ACAO00000293,AC0029248,AbrirChamado,2025-10-14T13:48:28,
ACAO00000294,AC0046614,ConsultarExtrato,2026-02-14T22:39:01,
ACAO00000295,AC0025011,SimularEmprestimo,2025-10-08T01:24:40,PR01
ACAO00000296,AC0011853,ConsultarSaldo,2025-12-05T03:39:08,
ACAO00000297,AC0028977,PagarPix,2025-10-18T23:55:05,
ACAO00000298,AC0025571,VisualizarProduto,2025-09-06T07:19:27,PR02
ACAO00000299,AC0008741,AlterarDadosCadastrais,2025-12-14T12:20:11,
ACAO00000300,AC0000460,ConsultarSaldo,2025-11-12T01:04:12,
ACAO00000301,AC0039519,ConsultarSaldo,2026-02-02T22:01:14,
ACAO00000302,AC0040856,SimularEmprestimo,2025-10-30T09:38:49,PR02
ACAO00000303,AC0026653,AbrirChamado,2025-10-01T05:55:06,
ACAO00000304,AC0030211,PagarPix,2025-09-04T17:35:52,
ACAO00000305,AC0024455,AlterarDadosCadastrais,2025-10-28T08:28:33,
ACAO00000306,AC0004110,PagarPix,2025-11-29T07:39:45,
ACAO00000307,AC0009451,ConsultarExtrato,2026-02-24T04:00:56,
ACAO00000308,AC0032856,AlterarDadosCadastrais,2025-12-01T01:09:16,
ACAO00000309,AC0016372,ConsultarExtrato,2026-02-22T20:52:49,
ACAO00000310,AC0037343,SimularEmprestimo,2025-09-17T19:32:09,PR01
ACAO00000311,AC0026099,SimularEmprestimo,2026-01-21T23:51:35,PR10
ACAO00000312,AC0052444,PagarPix,2025-12-06T06:21:24,
ACAO00000313,AC0043920,PagarPix,2025-09-16T23:31:38,
ACAO00000314,AC0015469,ConsultarExtrato,2025-10-21T13:06:36,
ACAO00000315,AC0024806,PagarPix,2025-12-01T11:49:37,
ACAO00000316,AC0038433,VisualizarProduto,2025-12-31T20:29:02,PR06
ACAO00000317,AC0031564,AbrirChamado,2025-10-28T21:36:43,
ACAO00000318,AC0031197,AbrirChamado,2026-02-27T04:04:25,
ACAO00000319,AC0016983,IniciarContratacao,2025-12-30T20:31:05,PR02
ACAO00000320,AC0046181,ConsultarExtrato,2025-12-24T21:32:28,
ACAO00000321,AC0029111,ConsultarSaldo,2025-11-05T14:32:22,
ACAO00000322,AC0042487,SimularEmprestimo,2025-11-23T04:17:22,PR01
ACAO00000323,AC0000047,PagarPix,2025-11-08T09:33:12,
ACAO00000324,AC0046524,VisualizarProduto,2025-11-25T14:42:47,PR01
ACAO00000325,AC0036101,ConsultarSaldo,2025-11-09T06:47:18,
ACAO00000326,AC0006269,ConsultarSaldo,2026-02-10T13:02:24,
ACAO00000327,AC0044278,SimularEmprestimo,2025-09-29T19:17:14,PR05
ACAO00000328,AC0035574,IniciarContratacao,2025-11-15T09:35:23,PR04
ACAO00000329,AC0005133,VisualizarProduto,2025-11-27T06:54:07,PR01
ACAO00000330,AC0027394,PagarPix,2025-09-21T11:54:06,
ACAO00000331,AC0045894,IniciarContratacao,2025-10-11T17:00:34,PR04
ACAO00000332,AC0004534,IniciarContratacao,2025-11-12T02:04:47,PR07
ACAO00000333,AC0025637,VisualizarProduto,2026-01-08T09:37:57,PR10
ACAO00000334,AC0036467,ConsultarSaldo,2026-02-20T03:02:01,
ACAO00000335,AC0007036,ConsultarSaldo,2026-01-19T04:41:38,
ACAO00000336,AC0020190,ConsultarSaldo,2025-09-28T17:02:25,
ACAO00000337,AC0015131,VisualizarProduto,2026-02-15T08:49:02,PR06
ACAO00000338,AC0036592,PagarPix,2025-12-20T22:57:34,
ACAO00000339,AC0032878,AlterarDadosCadastrais,2026-02-26T06:29:38,
ACAO00000340,AC0025658,PagarPix,2025-12-23T14:27:48,
ACAO00000341,AC0009346,PagarPix,2026-01-22T00:43:47,
ACAO00000342,AC0024389,ConsultarSaldo,2025-11-25T15:17:59,
ACAO00000343,AC0003792,AbrirChamado,2025-10-17T16:14:36,
ACAO00000344,AC0033881,ConsultarSaldo,2026-01-14T19:28:47,
ACAO00000345,AC0032939,PagarPix,2026-01-27T06:23:28,
ACAO00000346,AC0040460,AbrirChamado,2025-11-17T08:29:19,
ACAO00000347,AC0050090,ConsultarExtrato,2025-09-27T19:39:50,
ACAO00000348,AC0002448,ConsultarSaldo,2026-01-01T04:33:26,
ACAO00000349,AC0008268,ConsultarExtrato,2025-11-24T01:19:16,
ACAO00000350,AC0028404,ConsultarSaldo,2025-12-08T18:04:28,
ACAO00000351,AC0019010,ConsultarSaldo,2026-01-27T21:35:04,
ACAO00000352,AC0047631,IniciarContratacao,2025-09-09T11:31:59,PR07
ACAO00000353,AC0041787,ConsultarSaldo,2026-01-18T02:45:29,
ACAO00000354,AC0034267,PagarPix,2025-09-24T05:24:50,
ACAO00000355,AC0037694,VisualizarProduto,2025-10-09T02:42:04,PR06
ACAO00000356,AC0020225,PagarPix,2025-09-06T20:43:53,
ACAO00000357,AC0040716,ConsultarSaldo,2025-11-17T08:41:40,
ACAO00000358,AC0044389,VisualizarProduto,2025-10-08T01:24:43,PR06
ACAO00000359,AC0027632,PagarPix,2025-12-05T10:16:08,
ACAO00000360,AC0028892,PagarPix,2025-10-07T04:59:40,
ACAO00000361,AC0052487,ConsultarExtrato,2025-11-21T13:57:58,
ACAO00000362,AC0046667,ConsultarSaldo,2025-09-29T01:25:17,
ACAO00000363,AC0040357,IniciarContratacao,2025-09-21T00:34:52,PR09
ACAO00000364,AC0033478,PagarPix,2026-02-18T05:16:59,
ACAO00000365,AC0002996,AbrirChamado,2025-11-04T16:55:15,
ACAO00000366,AC0012039,ConsultarExtrato,2025-10-22T00:10:12,
ACAO00000367,AC0012535,PagarPix,2025-12-30T02:35:48,
ACAO00000368,AC0011839,ConsultarExtrato,2026-02-28T08:53:33,
