acesso_id,cliente_id,dataHora,canal,sucesso,duracaoSegundos
AC0000111,CLI1446,2025-11-18T21:55:16,App,True,592
AC0000112,CLI1102,2026-01-18T08:40:56,App,True,322
AC0000113,CLI0077,2025-10-24T21:56:43,WebApp,True,882
AC0000114,CLI1232,2025-09-29T03:07:21,App,True,481
AC0000115,CLI1009,2025-12-03T18:05:05,App,True,782
AC0000116,CLI0712,2026-01-26T09:00:37,App,True,268
AC0000117,CLI1003,2025-10-15T07:40:43,App,True,221
AC0000118,CLI1175,2026-02-23T07:30:37,App,True,434
AC0000119,CLI1474,2026-01-15T14:59:14,WebApp,True,660
AC0000120,CLI1257,2026-02-02T15:36:35,App,True,207
AC0000121,CLI1329,2026-02-24T21:06:52,App,True,334
AC0000122,CLI0791,2025-10-09T22:17:09,App,True,175
AC0000123,CLI0051,2025-09-04T05:35:52,App,False,0
AC0000124,CLI0846,2025-11-27T23:56:32,App,True,505
AC0000125,CLI0008,2026-01-11T23:22:54,App,True,413
AC0000126,CLI0738,2025-11-26T09:56:46,WebApp,True,595
AC0000127,CLI0792,2025-11-09T17:47:03,App,True,569
AC0000128,CLI1304,2026-01-27T01:22:32,App,True,822
AC0000129,CLI0202,2026-02-21T16:20:22,App,True,214
AC0000130,CLI1482,2025-10-17T20:48:14,WebApp,True,787
AC0000131,CLI0745,2025-09-17T07:53:16,App,True,60
AC0000132,CLI0815,2025-10-14T02:03:16,WebApp,True,306
AC0000133,CLI1216,2025-10-30T06:32:04,App,True,687
AC0000134,CLI1494,2025-10-26T23:46:30,App,True,574
AC0000135,CLI0073,2025-09-21T00:22:48,App,True,65
AC0000136,CLI0592,2025-09-17T09:43:14,App,True,64
AC0000137,CLI1438,2025-10-27T19:33:12,App,True,229
AC0000138,CLI1026,2025-12-09T13:01:59,WebApp,True,188
AC0000139,CLI0249,2026-01-10T17:55:25,App,True,860
AC0000140,CLI0027,2025-12-13T00:56:50,App,True,281
AC0000141,CLI0353,2025-10-06T23:58:46,App,True,388
AC0000142,CLI0274,2025-11-15T13:11:29,App,True,712
AC0000143,CLI0627,2026-02-03T03:27:55,WebApp,True,701
AC0000144,CLI0895,2026-02-16T23:26:35,App,True,326
AC0000145,CLI0572,2025-09-19T06:39:40,WebApp,True,696
AC0000146,CLI1492,2025-10-16T01:45:02,App,True,743
AC0000147,CLI0322,2026-01-23T09:46:32,App,True,234
AC0000148,CLI0163,2025-12-13T02:44:27,WebApp,True,155
AC0000149,CLI1005,2026-02-19T11:12:02,App,True,626
AC0000150,CLI0610,2025-10-22T21:06:09,WebApp,True,423
AC0000151,CLI1453,2025-12-31T08:14:11,WebApp,True,313
AC0000152,CLI1050,2025-11-12T09:03:00,App,True,484
AC0000153,CLI0702,2026-01-09T04:42:56,WebApp,True,869
AC0000154,CLI0851,2025-12-15T15:12:54,App,True,472
AC0000155,CLI1268,2025-11-30T01:35:22,App,True,563
AC0000156,CLI0214,2026-01-17T04:10:44,App,True,89
AC0000157,CLI0706,2025-10-04T17:03:22,App,True,798
AC0000158,CLI0730,2025-12-08T02:54:41,WebApp,True,358
AC0000159,CLI0875,2026-01-17T16:19:30,App,True,698
AC0000160,CLI0190,2026-01-31T05:59:59,App,True,650
AC0000161,CLI0777,2025-12-05T09:38:05,WebApp,True,827
AC0000162,CLI1069,2025-10-21T00:31:43,App,True,129
AC0000163,CLI0271,2026-01-03T10:32:08,App,True,388
AC0000164,CLI0077,2025-12-05T16:11:26,App,True,416
AC0000165,CLI0948,2025-12-18T04:11:23,App,True,342
AC0000166,CLI0024,2025-11-26T12:24:18,App,True,418
AC0000167,CLI0447,2025-12-18T07:15:06,App,True,804
AC0000168,CLI1405,2026-01-30T16:47:54,WebApp,False,0
AC0000169,CLI0404,2025-12-23T03:52:39,App,True,124
AC0000170,CLI0662,2026-02-10T23:48:11,WebApp,True,210
AC0000171,CLI1300,2025-11-18T21:41:54,App,True,267
AC0000172,CLI0646,2026-02-03T23:33:36,App,True,668
AC0000173,CLI0189,2026-02-01T14:51:16,WebApp,True,878
AC0000174,CLI0610,2026-01-15T12:03:14,App,True,726
AC0000175,CLI1478,2026-02-10T04:23:33,WebApp,True,786
AC0000176,CLI1219,2025-11-20T16:45:06,App,True,46
AC0000177,CLI1458,2025-11-14T21:55:17,WebApp,True,50
AC0000178,CLI1049,2025-09-06T01:11:38,App,True,892
AC0000179,CLI0046,2025-09-02T18:26:35,App,True,890
AC0000180,CLI0616,2026-02-19T21:32:37,App,True,865
AC0000181,CLI1186,2025-12-17T20:03:12,App,True,637
AC0000182,CLI0373,2025-09-18T23:21:32,App,True,631
AC0000183,CLI0819,2026-03-01T14:59:19,App,True,384
AC0000184,CLI0843,2026-01-22T11:28:01,App,True,80
AC0000185,CLI1360,2025-10-03T13:31:56,App,True,140
AC0000186,CLI1194,2025-12-23T09:20:18,App,True,888
AC0000187,CLI0749,2025-12-09T21:41:22,App,True,83
AC0000188,CLI0670,2026-02-25T03:40:18,App,False,0
AC0000189,CLI0794,2025-09-14T13:34:52,WebApp,True,361
AC0000190,CLI0147,2025-09-20T05:32:54,App,True,849
AC0000191,CLI0907,2025-10-28T02:54:26,App,True,431
AC0000192,CLI0422,2026-01-18T23:26:53,App,True,895
AC0000193,CLI1131,2025-11-15T17:40:52,WebApp,True,857
AC0000194,CLI0870,2026-02-27T05:44:14,App,True,500
AC0000195,CLI0147,2025-10-09T17:15:01,WebApp,True,327
AC0000196,CLI1248,2026-01-26T15:56:09,App,True,506
AC0000197,CLI1310,2026-02-20T22:06:37,App,True,173
AC0000198,CLI0984,2026-02-24T15:15:40,App,True,66
AC0000199,CLI0196,2025-10-24T12:43:35,App,True,458
AC0000200,CLI0689,2025-10-17T16:51:51,App,True,302
AC0000201,CLI0102,2026-02-20T11:00:14,WebApp,True,342
AC0000202,CLI1026,2025-10-14T09:10:07,App,True,99
AC0000203,CLI1392,2026-02-21T14:56:23,App,True,181
AC0000204,CLI1068,2026-02-17T11:10:17,App,True,561
AC0000205,CLI1242,2025-11-06T05:30:09,WebApp,True,582
AC0000206,CLI0095,2026-01-25T00:55:08,App,True,876
AC0000207,CLI0793,2025-09-14T13:22:18,App,True,214
AC0000208,CLI0905,2025-12-24T16:52:05,WebApp,True,522
AC0000209,CLI0136,2026-02-14T18:29:37,WebApp,True,73
AC0000210,CLI0557,2025-09-29T20:37:44,App,True,548
AC0000211,CLI0700,2025-09-18T23:49:00,App,True,348
AC0000212,CLI0288,2026-02-11T03:43:25,WebApp,True,417
AC0000213,CLI0788,2026-01-15T12:52:39,App,True,261
AC0000214,CLI1094,2025-10-23T05:19:14,App,True,859
AC0000215,CLI0522,2025-09-05T17:41:07,WebApp,True,528
AC0000216,CLI0111,2026-01-20T08:06:11,App,True,252
AC0000217,CLI1209,2025-10-17T13:25:38,App,True,675
AC0000218,CLI0378,2025-11-29T08:57:49,WebApp,True,135
AC0000219,CLI1107,2026-01-19T00:52:31,App,True,132
AC0000220,CLI0988,2025-09-28T12:15:44,App,True,389
AC0000221,CLI0845,2025-11-05T03:35:19,App,True,412
AC0000222,CLI0304,2025-12-25T14:43:07,App,True,158
AC0000223,CLI0225,2025-11-01T00:34:26,App,True,153
AC0000224,CLI0755,2026-01-14T10:37:27,App,True,699
AC0000225,CLI0199,2025-09-21T14:53:45,WebApp,True,233
AC0000226,CLI1172,2025-12-18T12:39:39,App,True,707
AC0000227,CLI0949,2026-02-17T09:52:18,App,True,555
AC0000228,CLI0697,2025-11-25T15:25:08,WebApp,True,65
AC0000229,CLI0846,2025-09-23T21:31:58,App,True,673
AC0000230,CLI0726,2026-02-26T19:04:34,WebApp,True,78
AC0000231,CLI1073,2025-12-15T20:02:20,WebApp,True,828
AC0000232,CLI1046,2025-11-27T05:49:07,App,True,488
AC0000233,CLI0677,2026-01-27T19:25:10,App,True,610
AC0000234,CLI0910,2026-03-01T19:38:14,App,True,437
AC0000235,CLI1330,2025-10-19T06:57:34,App,True,297
AC0000236,CLI0616,2026-01-16T15:02:33,App,True,684
AC0000237,CLI0399,2025-10-28T14:05:22,App,True,517
AC0000238,CLI1276,2026-01-30T14:58:56,WebApp,True,540
AC0000239,CLI0502,2025-12-17T04:11:27,App,False,0
AC0000240,CLI0393,2025-11-09T16:26:59,App,True,765
AC0000241,CLI0774,2025-12-09T08:57:59,App,True,118
AC0000242,CLI1473,2026-02-15T21:25:53,App,True,338
AC0000243,CLI1056,2025-11-25T13:11:17,App,True,139
AC0000244,CLI0854,2025-10-22T11:12:14,App,True,56
AC0000245,CLI0057,2026-01-14T01:56:04,WebApp,True,71
AC0000246,CLI0106,2025-11-27T02:15:51,WebApp,True,647
AC0000247,CLI0293,2025-11-03T13:05:02,App,True,197
AC0000248,CLI1081,2026-02-24T19:21:40,App,True,567
AC0000249,CLI1260,2025-11-12T20:49:19,WebApp,True,711
AC0000250,CLI0651,2025-11-11T08:06:23,App,True,270
AC0000251,CLI0276,2026-01-26T08:38:04,App,True,408
AC0000252,CLI1375,2025-12-16T00:10:22,App,True,177
AC0000253,CLI0420,2025-09-24T10:21:22,App,True,636
AC0000254,CLI0203,2025-10-20T11:50:47,WebApp,True,476
AC0000255,CLI1418,2026-01-14T07:49:59,App,True,703
AC0000256,CLI0295,2025-11-22T05:25:35,App,True,52
AC0000257,CLI0738,2026-02-06T01:04:38,App,False,0
AC0000258,CLI0764,2025-12-27T03:11:31,WebApp,True,379
AC0000259,CLI0391,2025-11-17T18:36:35,App,True,26
AC0000260,CLI0298,2026-02-10T10:35:50,WebApp,True,241
AC0000261,CLI1268,2025-09-20T19:43:35,App,True,317
AC0000262,CLI0923,2025-12-08T04:31:32,App,False,0
AC0000263,CLI1209,2025-11-13T03:03:17,App,True,897
AC0000264,CLI0877,2026-02-20T22:15:06,App,True,83
AC0000265,CLI0745,2025-09-03T13:11:42,WebApp,True,561
AC0000266,CLI0597,2025-11-19T16:19:52,App,True,113
AC0000267,CLI1384,2025-12-20T11:00:17,App,True,312
AC0000268,CLI0476,2025-12-19T02:49:43,App,True,823
AC0000269,CLI0500,2025-09-20T10:36:59,App,True,210
AC0000270,CLI0160,2025-12-06T11:01:09,App,True,722
AC0000271,CLI0542,2026-02-16T18:27:56,App,True,254
AC0000272,CLI0456,2025-10-20T22:52:22,App,True,356
AC0000273,CLI0715,2026-02-28T13:10:26,App,True,350
AC0000274,CLI1074,2026-01-26T21:13:21,App,True,681
AC0000275,CLI0852,2026-01-17T05:58:57,WebApp,True,435
AC0000276,CLI1373,2025-11-26T03:30:23,WebApp,True,571
AC0000277,CLI1204,2025-10-25T18:37:22,App,True,435
AC0000278,CLI1273,2025-11-12T16:12:14,WebApp,False,0
AC0000279,CLI0715,2026-02-27T19:45:18,App,True,100
AC0000280,CLI1143,2026-01-20T00:45:44,App,True,24
AC0000281,CLI1476,2026-02-01T03:04:19,App,True,338
AC0000282,CLI0417,2026-02-19T13:02:44,App,True,77
AC0000283,CLI1500,2026-01-27T03:11:48,App,True,605
AC0000284,CLI1088,2026-02-21T06:00:16,WebApp,False,0
AC0000285,CLI1363,2026-02-13T16:51:09,App,True,235
AC0000286,CLI0950,2026-02-22T01:20:19,App,True,340
AC0000287,CLI0895,2025-11-14T12:18:29,App,True,626
AC0000288,CLI1039,2025-09-08T01:56:49,WebApp,True,83
AC0000289,CLI1058,2025-11-28T02:47:05,WebApp,True,272
AC0000290,CLI0657,2025-10-28T02:04:35,App,True,624
AC0000291,CLI0913,2025-10-21T07:19:02,App,True,321
AC0000292,CLI0490,2025-09-26T17:51:09,WebApp,True,797
AC0000293,CLI0085,2026-01-04T01:33:17,WebApp,True,507
AC0000294,CLI0750,2025-10-13T14:17:57,App,True,773
AC0000295,CLI1084,2025-11-10T04:33:54,App,True,201
AC0000296,CLI1270,2025-11-18T06:25:04,App,True,109
AC0000297,CLI1204,2025-09-10T10:13:14,App,True,136
AC0000298,CLI0240,2025-09-29T21:43:59,App,True,114
AC0000299,CLI0623,2026-02-26T10:02:11,App,True,151
AC0000300,CLI0053,2025-11-24T03:02:39,App,True,740
AC0000301,CLI0729,2025-10-24T21:06:34,WebApp,True,677
AC0000302,CLI0969,2025-09-05T16:24:16,WebApp,True,394
AC0000303,CLI0558,2025-12-19T15:57:27,WebApp,True,402
AC0000304,CLI0633,2025-09-17T07:54:47,App,True,570
AC0000305,CLI0886,2025-12-04T04:40:43,WebApp,True,613
AC0000306,CLI0996,2025-12-04T10:20:06,App,True,170
AC0000307,CLI0174,2026-02-02T02:12:50,App,True,20
AC0000308,CLI0274,2026-01-29T17:26:34,App,True,773
AC0000309,CLI0126,2026-02-15T08:46:49,App,True,782
AC0000310,CLI0651,2025-12-11T00:21:28,App,True,283
AC0000311,CLI0465,2025-10-25T16:44:38,WebApp,True,288
AC0000312,CLI0014,2025-11-02T06:58:15,App,True,775
AC0000313,CLI0919,2026-02-13T04:53:27,App,True,833
AC0000314,CLI0027,2025-11-23T01:32:23,App,True,533
AC0000315,CLI0409,2025-10-17T03:34:19,App,True,411
AC0000316,CLI0361,2026-01-06T04:15:29,WebApp,True,201
AC0000317,CLI1036,2026-02-10T18:46:29,WebApp,True,372
AC0000318,CLI0206,2025-10-01T13:07:39,App,False,0
AC0000319,CLI0465,2026-02-05T02:45:50,App,True,709
AC0000320,CLI0156,2025-11-01T03:50:52,App,True,86
AC0000321,CLI0922,2025-09-15T15:35:52,App,False,0
AC0000322,CLI1467,2025-12-06T16:53:50,App,True,716
AC0000323,CLI1356,2025-11-07T18:04:32,App,True,369
AC0000324,CLI0550,2025-10-20T04:06:10,App,True,634
AC0000325,CLI0926,2025-12-19T17:46:19,App,True,580
AC0000326,CLI0307,2025-10-22T17:54:35,App,True,817
AC0000327,CLI1307,2026-01-01T23:07:14,WebApp,True,166
AC0000328,CLI0434,2026-01-04T00:27:36,App,True,899
AC0000329,CLI0272,2025-10-10T17:05:16,App,True,427
AC0000330,CLI1159,2025-09-24T15:51:04,App,True,900
AC0000331,CLI0223,2025-10-27T02:43:25,App,True,195
AC0000332,CLI0938,2026-01-27T00:01:52,App,True,419
AC0000333,CLI0772,2025-10-28T11:44:50,App,True,189
AC0000334,CLI0738,2025-11-02T16:19:11,App,True,665
AC0000335,CLI1009,2025-09-18T07:38:15,App,True,650
AC0000336,CLI1176,2025-11-04T01:11:34,WebApp,True,313
AC0000337,CLI1191,2026-01-28T15:21:58,WebApp,True,172
AC0000338,CLI0162,2026-02-03T15:49:25,App,False,0
AC0000339,CLI0666,2025-09-17T21:04:44,App,True,741
AC0000340,CLI1169,2026-02-25T03:07:39,App,True,620
AC0000341,CLI0159,2026-02-22T07:36:39,App,False,0
AC0000342,CLI0853,2025-09-17T03:52:25,App,True,877
AC0000343,CLI1441,2026-02-05T04:26:17,WebApp,True,359
AC0000344,CLI1274,2025-12-06T21:16:36,App,True,506
AC0000345,CLI0702,2025-12-18T13:31:02,App,True,658
AC0000346,CLI1062,2025-10-15T07:05:43,WebApp,True,622
AC0000347,CLI0851,2026-02-17T19:38:08,WebApp,False,0
AC0000348,CLI0159,2025-11-19T21:19:50,WebApp,True,556
AC0000349,CLI0961,2026-01-13T21:34:44,App,False,0
AC0000350,CLI0942,2025-10-02T11:06:42,App,True,92
AC0000351,CLI0803,2026-02-20T15:26:15,App,True,405
AC0000352,CLI0248,2026-01-04T04:01:33,App,True,375
AC0000353,CLI1049,2025-11-30T00:43:27,App,True,316
AC0000354,CLI1249,2025-11-08T20:43:03,App,True,317
AC0000355,CLI0507,2026-01-27T16:05:36,App,True,245
AC0000356,CLI0867,2025-10-12T19:40:34,App,True,807
AC0000357,CLI1407,2025-09-08T08:13:10,App,True,389
AC0000358,CLI0763,2025-10-23T18:11:27,WebApp,True,795
AC0000359,CLI0523,2026-02-07T22:11:33,App,True,279
AC0000360,CLI0385,2026-01-17T08:46:11,App,True,337
AC0000361,CLI0610,2026-02-16T15:20:28,App,True,356
AC0000362,CLI1047,2025-11-25T22:51:46,WebApp,True,614
AC0000363,CLI1339,2026-01-02T13:48:44,WebApp,True,166
AC0000364,CLI0552,2026-01-21T11:51:05,App,True,422
AC0000365,CLI1189,2025-11-04T00:52:57,WebApp,True,145
AC0000366,CLI0704,2025-09-13T11:27:01,WebApp,True,626
AC0000367,CLI0950,2025-12-20T05:45:03,App,True,478
AC0000368,CLI0508,2025-12-19T19:41:35,App,True,312
AC0000369,CLI0801,2025-12-20T01:54:43,App,True,788
AC0000370,CLI0243,2026-01-31T09:12:50,App,True,761
AC0000371,CLI1393,2026-02-24T17:27:58,WebApp,True,898
AC0000372,CLI0465,2025-12-14T14:55:45,App,True,397
AC0000373,CLI0071,2026-02-24T03:13:12,App,True,708
AC0000374,CLI0458,2025-12-19T02:14:29,WebApp,False,0
AC0000375,CLI1106,2025-12-15T05:36:09,App,False,0
AC0000376,CLI1108,2026-02-21T09:26:04,App,True,667
AC0000377,CLI0248,2025-11-15T13:27:44,App,True,84
AC0000378,CLI1103,2026-02-24T20:57:24,App,False,0
AC0000379,CLI0474,2025-11-20T00:40:52,App,True,832
AC0000380,CLI0387,2025-11-15T17:55:27,App,True,795
AC0000381,CLI0072,2025-10-26T02:30:54,WebApp,True,479
AC0000382,CLI1491,2025-10-06T01:50:48,WebApp,True,569
AC0000383,CLI0854,2025-10-20T05:51:40,App,True,327
AC0000384,CLI0221,2025-12-26T01:24:26,App,True,778
AC0000385,CLI1189,2025-12-04T00:17:18,App,True,320
AC0000386,CLI1036,2025-10-25T21:09:21,WebApp,True,352
AC0000387,CLI0318,2026-01-02T21:34:17,App,True,412
AC0000388,CLI0354,2025-09-10T21:05:44,App,True,42
AC0000389,CLI0159,2026-02-28T23:47:01,App,True,597
AC0000390,CLI0932,2026-01-18T11:54:42,App,True,29
AC0000391,CLI0157,2025-11-09T21:24:17,App,True,783
AC0000392,CLI1137,2026-02-26T17:51:29,App,True,864
AC0000393,CLI1387,2025-10-27T20:16:48,WebApp,True,709
AC0000394,CLI1491,2025-12-14T05:20:16,App,True,630
AC0000395,CLI1395,2026-01-26T22:45:09,App,True,185
AC0000396,CLI1073,2025-11-20T02:19:49,WebApp,True,116
AC0000397,CLI1469,2025-11-10T09:02:42,App,True,183
AC0000398,CLI0657,2025-10-08T12:29:31,WebApp,True,48
AC0000399,CLI1024,2025-11-24T12:57:34,App,True,366
AC0000400,CLI0313,2025-09-24T09:53:21,App,True,88
AC0000401,CLI0172,2026-01-07T02:26:41,App,True,729
AC0000402,CLI0498,2025-09-24T10:06:26,App,True,604
AC0000403,CLI0399,2025-12-15T21:56:58,App,False,0
AC0000404,CLI1249,2026-01-20T17:17:45,App,True,158
AC0000405,CLI1232,2026-02-27T17:35:37,App,True,737
AC0000406,CLI0811,2026-01-22T00:36:18,App,True,696
AC0000407,CLI1342,2025-12-05T13:33:11,App,True,597
AC0000408,CLI1495,2025-12-15T07:33:22,App,True,797
AC0000409,CLI0961,2026-01-04T22:38:38,App,True,880
AC0000410,CLI1027,2025-10-27T20:54:49,App,True,250
AC0000411,CLI0515,2025-12-09T15:58:29,App,False,0
AC0000412,CLI0391,2025-10-28T17:27:35,App,True,349
AC0000413,CLI0388,2025-09-16T10:18:54,WebApp,True,341
AC0000414,CLI0740,2025-12-08T04:52:42,App,True,897
AC0000415,CLI0700,2025-09-03T06:05:39,App,True,508
AC0000416,CLI0150,2026-01-22T08:44:24,App,True,748
AC0000417,CLI0674,2025-10-26T21:37:21,App,True,712
AC0000418,CLI0385,2025-11-14T23:48:13,WebApp,True,789
AC0000419,CLI0599,2025-09-21T17:52:17,App,True,144
AC0000420,CLI0551,2025-09-21T12:22:09,App,True,329
AC0000421,CLI0599,2026-01-27T04:52:21,App,True,718
AC0000422,CLI0077,2026-01-21T05:52:02,App,False,0
AC0000423,CLI0030,2025-12-08T06:48:29,App,True,82
AC0000424,CLI0859,2025-11-21T16:39:36,App,True,853
AC0000425,CLI1069,2025-12-20T16:13:20,App,True,126
AC0000426,CLI0363,2025-09-21T22:40:08,WebApp,True,500
AC0000427,CLI0736,2026-01-24T09:35:20,WebApp,True,115
AC0000428,CLI0522,2026-01-29T10:29:48,App,True,526
AC0000429,CLI0957,2026-02-18T06:57:33,App,False,0
AC0000430,CLI0946,2025-12-06T21:00:41,App,True,512
AC0000431,CLI1137,2025-12-23T20:39:17,App,True,101
AC0000432,CLI1056,2026-02-04T18:18:40,App,True,491
AC0000433,CLI1037,2026-02-23T07:46:25,App,False,0
AC0000434,CLI0358,2025-11-09T22:41:59,App,True,250
AC0000435,CLI0903,2025-11-22T11:18:26,App,True,395
AC0000436,CLI1425,2025-12-10T21:11:07,App,True,716
AC0000437,CLI0620,2025-11-23T22:12:43,App,True,762
AC0000438,CLI0274,2025-12-22T19:35:09,App,True,117
AC0000439,CLI0566,2025-09-20T23:14:19,WebApp,True,611
