cliente_id,location_id,cidade,estado,latitude,longitude
CLI0043,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0044,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0045,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0046,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0047,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0048,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0049,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0050,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0051,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0052,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0053,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0054,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0055,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0056,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0057,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0058,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0059,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0060,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0061,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0062,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0063,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0064,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0065,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0066,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0067,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0068,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0069,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0070,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0071,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0072,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0073,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0074,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0075,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0076,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0077,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0078,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0079,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0080,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0081,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0082,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0083,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0084,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0085,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0086,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0087,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0088,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0089,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0090,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0091,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0092,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0093,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0094,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0095,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0096,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0097,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0098,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0099,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0100,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0101,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0102,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0103,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0104,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0105,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0106,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0107,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0108,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0109,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0110,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0111,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0112,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0113,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0114,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0115,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0116,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0117,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0118,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0119,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0120,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0121,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0122,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0123,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0124,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0125,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0126,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0127,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0128,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0129,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0130,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0131,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0132,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0133,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0134,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0135,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0136,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0137,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0138,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0139,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0140,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0141,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0142,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0143,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0144,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0145,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0146,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0147,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0148,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0149,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0150,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0151,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0152,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0153,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0154,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0155,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0156,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0157,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0158,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0159,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0160,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0161,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0162,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0163,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0164,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0165,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0166,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0167,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0168,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0169,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0170,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0171,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0172,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0173,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0174,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0175,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0176,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0177,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0178,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0179,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0180,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0181,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0182,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0183,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0184,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0185,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0186,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0187,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0188,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0189,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0190,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0191,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0192,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0193,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0194,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0195,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0196,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0197,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0198,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0199,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0200,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0201,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0202,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0203,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0204,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0205,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0206,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0207,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0208,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0209,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0210,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0211,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0212,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0213,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0214,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0215,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0216,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0217,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0218,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0219,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0220,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0221,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0222,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0223,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0224,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0225,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0226,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0227,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0228,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0229,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0230,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0231,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0232,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0233,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0234,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0235,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0236,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0237,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0238,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0239,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0240,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0241,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0242,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0243,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0244,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0245,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0246,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0247,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0248,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0249,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0250,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0251,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0252,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0253,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0254,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0255,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0256,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0257,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0258,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0259,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0260,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0261,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0262,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0263,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0264,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0265,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0266,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0267,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0268,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0269,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0270,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0271,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0272,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0273,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0274,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0275,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0276,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0277,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0278,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0279,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0280,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0281,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0282,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0283,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0284,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0285,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0286,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0287,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0288,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0289,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0290,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0291,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0292,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0293,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0294,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0295,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0296,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0297,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0298,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0299,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0300,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0301,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0302,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0303,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0304,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0305,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0306,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0307,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0308,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0309,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0310,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0311,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0312,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0313,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0314,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0315,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0316,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0317,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0318,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0319,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0320,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0321,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0322,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0323,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0324,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0325,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0326,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0327,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0328,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0329,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0330,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0331,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0332,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0333,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0334,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0335,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0336,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0337,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0338,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0339,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0340,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0341,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0342,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
