transacao_id,clienteOrigemId,clienteDestinoId,valor,data,tipo
TX0000065,CLI0562,CLI0901,2636.28,2025-10-08,Pix
TX0000066,CLI0563,CLI0333,664.84,2025-10-07,Pix
TX0000067,CLI0137,CLI0518,488.77,2025-12-21,Pix
TX0000068,CLI0480,CLI1055,11288.04,2025-12-11,Pix
TX0000069,CLI0780,CLI0161,488.3,2025-11-05,Pix
TX0000070,CLI1211,CLI1313,14989.32,2026-01-13,Pix
TX0000071,CLI1413,CLI1109,851.14,2025-11-29,Pix
TX0000072,CLI1149,CLI0569,785.62,2025-11-13,Pix
TX0000073,CLI0116,CLI0908,1281.41,2025-10-26,Pix
TX0000074,CLI0144,CLI0161,25.44,2025-12-28,Pix
TX0000075,CLI0379,CLI1369,2200.4,2025-12-09,Pix
TX0000076,CLI1465,CLI0374,2270.65,2025-10-27,Pix
TX0000077,CLI1461,CLI1133,10032.8,2025-11-09,Pix
TX0000078,CLI0522,CLI0552,1993.33,2025-10-31,Pix
TX0000079,CLI0031,CLI0768,369.32,2026-01-30,Pix
TX0000080,CLI1071,CLI0011,2264.18,2026-02-15,Pix
TX0000081,CLI0341,CLI0922,1456.22,2025-11-08,Pix
TX0000082,CLI1033,CLI1470,1638.07,2025-10-02,Pix
TX0000083,CLI0921,CLI1371,1359.65,2025-12-20,Pix
TX0000084,CLI0386,CLI0711,2378.24,2025-09-02,Pix
TX0000085,CLI1140,CLI0998,14174.63,2025-10-19,Pix
TX0000086,CLI0107,CLI1133,10401.61,2025-12-25,Pix
TX0000087,CLI1068,CLI0256,788.26,2025-11-14,Pix
TX0000088,CLI0718,CLI0976,507.57,2026-01-12,Pix
TX0000089,CLI0502,CLI0265,1297.51,2025-11-30,Pix
TX0000090,CLI0755,CLI1055,13265.26,2026-02-24,Pix
TX0000091,CLI1131,CLI0487,32.33,2025-12-19,Pix
TX0000092,CLI0541,CLI1493,168.23,2026-01-23,Pix
TX0000093,CLI1428,CLI1042,539.15,2026-01-01,Pix
TX0000094,CLI1338,CLI0009,1788.0,2026-01-11,Pix
TX0000095,CLI0592,CLI0351,2994.56,2026-01-28,Pix
TX0000096,CLI1192,CLI0730,543.15,2025-10-01,Pix
TX0000097,CLI0268,CLI0279,12320.7,2025-11-11,Pix
TX0000098,CLI0786,CLI0401,1911.11,2026-02-22,Pix
TX0000099,CLI0974,CLI1158,259.77,2025-09-14,Pix
TX0000100,CLI1470,CLI1004,2597.98,2026-01-28,Pix
TX0000101,CLI0619,CLI1055,1651.65,2025-11-21,Pix
TX0000102,CLI0025,CLI0793,12236.14,2025-10-14,Pix
TX0000103,CLI1174,CLI1055,9079.32,2025-10-06,Pix
TX0000104,CLI0190,CLI0951,1722.95,2026-01-26,Pix
TX0000105,CLI0621,CLI1078,754.19,2026-02-05,Pix
TX0000106,CLI1267,CLI1368,763.18,2025-10-26,Pix
TX0000107,CLI0114,CLI0793,4632.43,2025-10-15,Pix
TX0000108,CLI1005,CLI1130,28.25,2026-02-15,Pix
TX0000109,CLI0815,CLI1316,110.85,2025-10-31,Pix
TX0000110,CLI0552,CLI1095,325.78,2025-09-29,Pix
TX0000111,CLI1427,CLI0101,2690.26,2026-01-18,Pix
TX0000112,CLI0662,CLI0602,1152.96,2026-01-09,Pix
TX0000113,CLI0474,CLI1153,2391.65,2025-12-05,Pix
TX0000114,CLI0014,CLI0333,2866.9,2025-09-14,Pix
TX0000115,CLI1164,CLI0240,2839.01,2025-09-23,Pix
TX0000116,CLI0703,CLI0288,1943.66,2026-01-10,Pix
TX0000117,CLI1410,CLI0785,2887.61,2025-09-07,Pix
TX0000118,CLI0469,CLI1196,1875.23,2025-12-27,Pix
TX0000119,CLI0431,CLI0595,1739.88,2025-09-30,Pix
TX0000120,CLI0085,CLI0998,2984.73,2026-01-29,Pix
TX0000121,CLI0916,CLI0481,1226.18,2026-01-08,Pix
TX0000122,CLI0988,CLI0509,1421.63,2026-02-27,Pix
TX0000123,CLI0761,CLI1380,2408.22,2025-09-07,Pix
TX0000124,CLI0542,CLI0299,958.52,2026-01-27,Pix
TX0000125,CLI0978,CLI0572,1570.6,2025-10-24,Pix
TX0000126,CLI0902,CLI0470,2100.47,2026-01-24,Pix
TX0000127,CLI0706,CLI1410,1333.14,2026-02-18,Pix
TX0000128,CLI0118,CLI1006,237.11,2025-11-20,Pix
TX0000129,CLI0292,CLI1347,2583.26,2026-01-25,Pix
TX0000130,CLI0330,CLI0697,2024.38,2026-02-01,Pix
TX0000131,CLI1449,CLI0664,2412.55,2025-09-22,Pix
TX0000132,CLI0035,CLI0620,1326.36,2026-02-16,Pix
TX0000133,CLI1402,CLI0092,1411.17,2025-09-24,Pix
TX0000134,CLI0069,CLI0172,2229.01,2026-03-01,Pix
TX0000135,CLI1143,CLI0097,708.06,2025-10-20,Pix
TX0000136,CLI0060,CLI0458,2709.67,2026-02-08,Pix
TX0000137,CLI0071,CLI0279,14101.47,2025-10-17,Pix
TX0000138,CLI1376,CLI0023,2873.63,2026-02-10,Pix
TX0000139,CLI1143,CLI1313,8696.59,2026-01-19,Pix
TX0000140,CLI0635,CLI0890,1270.09,2025-09-30,Pix
TX0000141,CLI0150,CLI1331,827.19,2025-10-28,Pix
TX0000142,CLI0076,CLI0117,1135.52,2025-09-18,Pix
TX0000143,CLI0331,CLI0299,2576.9,2025-10-01,Pix
TX0000144,CLI0232,CLI0279,8546.1,2026-01-08,Pix
TX0000145,CLI1244,CLI0693,1841.28,2026-02-01,Pix
TX0000146,CLI0797,CLI0235,1877.52,2025-12-09,Pix
TX0000147,CLI0846,CLI1191,1017.37,2026-01-01,Pix
TX0000148,CLI0816,CLI0807,1967.76,2025-12-19,Pix
TX0000149,CLI0317,CLI0246,846.61,2025-09-24,Pix
TX0000150,CLI0419,CLI0924,2705.3,2025-09-07,Pix
TX0000151,CLI1461,CLI0002,2104.34,2026-01-25,Pix
TX0000152,CLI0589,CLI0240,2479.94,2025-09-03,Pix
TX0000153,CLI0179,CLI0509,1672.36,2025-10-18,Pix
TX0000154,CLI1408,CLI0556,717.08,2025-12-09,Pix
TX0000155,CLI0845,CLI0544,2896.5,2026-01-25,Pix
TX0000156,CLI0178,CLI0645,254.67,2026-01-11,Pix
TX0000157,CLI1453,CLI1345,1510.76,2026-02-13,Pix
TX0000158,CLI0723,CLI1027,1966.97,2025-11-25,Pix
TX0000159,CLI0814,CLI0134,2972.69,2026-02-02,Pix
TX0000160,CLI0531,CLI1313,13278.94,2025-12-13,Pix
TX0000161,CLI0802,CLI0084,2679.13,2025-10-26,Pix
TX0000162,CLI1029,CLI1235,2145.41,2026-01-16,Pix
TX0000163,CLI1402,CLI0420,100.43,2025-11-13,Pix
TX0000164,CLI1397,CLI0102,1580.67,2026-02-04,Pix
TX0000165,CLI0072,CLI0069,2868.52,2025-12-17,Pix
TX0000166,CLI0528,CLI0822,1845.48,2025-09-25,Pix
TX0000167,CLI0053,CLI1438,659.6,2025-10-20,Pix
TX0000168,CLI0897,CLI0998,9452.9,2025-10-15,Pix
TX0000169,CLI0504,CLI0790,874.87,2026-02-28,Pix
TX0000170,CLI0605,CLI0099,1349.16,2025-09-02,Pix
TX0000171,CLI0846,CLI1178,1707.14,2026-02-16,Pix
TX0000172,CLI1136,CLI0570,76.43,2025-10-01,Pix
TX0000173,CLI0574,CLI0998,2988.49,2026-01-27,Pix
TX0000174,CLI0271,CLI1055,6573.93,2025-09-27,Pix
TX0000175,CLI0052,CLI1313,9671.67,2025-09-08,Pix
TX0000176,CLI0733,CLI0673,657.19,2026-01-07,Pix
TX0000177,CLI0242,CLI0558,1071.29,2025-12-02,Pix
TX0000178,CLI0745,CLI0401,1787.94,2025-09-23,Pix
TX0000179,CLI1231,CLI1498,1312.35,2025-11-26,Pix
TX0000180,CLI1081,CLI1158,2894.24,2025-11-06,Pix
TX0000181,CLI1474,CLI1045,331.4,2025-10-09,Pix
TX0000182,CLI0175,CLI0842,1558.87,2026-01-11,Pix
TX0000183,CLI1003,CLI0015,1414.85,2026-02-10,Pix
TX0000184,CLI1296,CLI0770,2979.87,2026-03-01,Pix
TX0000185,CLI0684,CLI0489,539.87,2025-09-22,Pix
TX0000186,CLI0948,CLI0082,1890.11,2025-10-27,Pix
TX0000187,CLI0703,CLI0279,11982.91,2025-10-02,Pix
TX0000188,CLI0531,CLI0869,398.81,2025-10-16,Pix
TX0000189,CLI0422,CLI1089,1639.65,2025-09-23,Pix
TX0000190,CLI0711,CLI1469,2506.66,2026-02-15,Pix
TX0000191,CLI0341,CLI0279,7438.32,2025-12-18,Pix
TX0000192,CLI1082,CLI1313,12992.39,2026-01-19,Pix
TX0000193,CLI1168,CLI1055,13105.41,2025-11-20,Pix
TX0000194,CLI1440,CLI0998,7822.0,2026-02-28,Pix
TX0000195,CLI0339,CLI0040,197.38,2026-02-17,Pix
TX0000196,CLI1148,CLI0707,1830.67,2025-12-16,Pix
TX0000197,CLI0911,CLI0190,563.12,2025-11-06,Pix
TX0000198,CLI1432,CLI0717,1642.01,2025-12-23,Pix
TX0000199,CLI0792,CLI0723,276.85,2025-12-11,Pix
TX0000200,CLI0905,CLI1055,13025.77,2026-02-06,Pix
TX0000201,CLI0945,CLI0793,14815.86,2026-02-17,Pix
TX0000202,CLI0863,CLI0058,2082.75,2026-01-30,Pix
TX0000203,CLI0160,CLI0687,921.01,2026-02-14,Pix
TX0000204,CLI0387,CLI1172,1276.99,2026-02-15,Pix
TX0000205,CLI1464,CLI0767,446.85,2025-09-30,Pix
TX0000206,CLI0917,CLI0505,1661.69,2026-02-06,Pix
TX0000207,CLI0312,CLI0446,2385.56,2026-02-21,Pix
TX0000208,CLI0707,CLI0998,6770.05,2025-12-13,Pix
TX0000209,CLI0122,CLI1438,467.95,2025-11-06,Pix
TX0000210,CLI0582,CLI0373,57.11,2025-11-02,Pix
TX0000211,CLI0397,CLI1313,7991.02,2026-01-31,Pix
TX0000212,CLI0053,CLI0830,2764.38,2025-11-29,Pix
TX0000213,CLI0666,CLI0135,320.87,2025-10-05,Pix
TX0000214,CLI0801,CLI0120,2390.17,2025-12-23,Pix
TX0000215,CLI1081,CLI0893,682.86,2025-09-12,Pix
TX0000216,CLI0688,CLI1279,1273.21,2026-01-10,Pix
TX0000217,CLI0107,CLI0793,9179.07,2025-10-09,Pix
TX0000218,CLI0853,CLI0858,1254.16,2025-10-24,Pix
TX0000219,CLI1141,CLI1245,1943.72,2025-12-02,Pix
TX0000220,CLI1338,CLI0998,1516.51,2025-12-29,Pix
TX0000221,CLI0132,CLI0918,532.6,2025-12-17,Pix
TX0000222,CLI0457,CLI1036,216.0,2025-10-24,Pix
TX0000223,CLI0660,CLI0998,2830.94,2025-11-26,Pix
TX0000224,CLI0529,CLI0534,2814.2,2025-12-26,Pix
TX0000225,CLI0917,CLI0012,260.46,2026-01-21,Pix
TX0000226,CLI0553,CLI1133,10222.51,2025-10-05,Pix
TX0000227,CLI0607,CLI0118,168.82,2025-11-24,Pix
TX0000228,CLI1497,CLI1401,679.93,2025-11-11,Pix
TX0000229,CLI0378,CLI1482,1206.18,2025-11-20,Pix
TX0000230,CLI1123,CLI0998,2767.53,2025-12-06,Pix
TX0000231,CLI0767,CLI0232,2284.12,2025-11-28,Pix
TX0000232,CLI1375,CLI1429,1528.66,2025-11-23,Pix
TX0000233,CLI0984,CLI0364,2853.5,2026-01-22,Pix
TX0000234,CLI0321,CLI0697,592.08,2025-09-29,Pix
TX0000235,CLI1400,CLI0530,1635.64,2025-11-01,Pix
TX0000236,CLI0025,CLI0591,1694.7,2025-09-30,Pix
TX0000237,CLI0048,CLI1443,2613.39,2026-01-30,Pix
TX0000238,CLI0526,CLI0747,2854.45,2025-12-30,Pix
TX0000239,CLI1250,CLI0775,1161.23,2026-02-15,Pix
TX0000240,CLI0523,CLI1473,155.73,2025-10-05,Pix
TX0000241,CLI0499,CLI0998,11735.14,2026-01-21,Pix
TX0000242,CLI1184,CLI1052,153.34,2025-09-02,Pix
TX0000243,CLI0368,CLI1133,13236.12,2025-09-23,Pix
TX0000244,CLI0716,CLI0685,1018.61,2025-11-08,Pix
TX0000245,CLI0730,CLI1380,276.52,2025-10-06,Pix
TX0000246,CLI1189,CLI0754,314.78,2025-09-28,Pix
TX0000247,CLI0026,CLI0392,2888.54,2026-02-26,Pix
TX0000248,CLI0305,CLI0793,13040.86,2025-09-21,Pix
TX0000249,CLI0573,CLI1462,231.08,2025-11-18,Pix
TX0000250,CLI1032,CLI1430,2131.77,2026-02-10,Pix
TX0000251,CLI0736,CLI0971,2688.08,2025-12-10,Pix
TX0000252,CLI0898,CLI1458,1139.8,2025-11-29,Pix
TX0000253,CLI0249,CLI0926,2502.36,2025-09-28,Pix
TX0000254,CLI0632,CLI0280,143.96,2025-11-19,Pix
TX0000255,CLI0562,CLI1415,2915.04,2026-02-26,Pix
TX0000256,CLI0833,CLI1296,2938.84,2025-12-24,Pix
TX0000257,CLI1012,CLI0706,2938.78,2026-02-07,Pix
TX0000258,CLI0020,CLI0355,636.45,2025-09-03,Pix
TX0000259,CLI0161,CLI1133,3996.36,2025-10-17,Pix
TX0000260,CLI0396,CLI0998,2736.08,2025-12-09,Pix
TX0000261,CLI0088,CLI0446,1991.28,2025-10-21,Pix
TX0000262,CLI1433,CLI1421,1076.45,2025-09-23,Pix
TX0000263,CLI1435,CLI1276,1866.31,2026-02-09,Pix
TX0000264,CLI0432,CLI0135,212.19,2025-11-22,Pix
TX0000265,CLI0480,CLI1055,3682.84,2025-09-04,Pix
TX0000266,CLI0987,CLI1262,2794.48,2026-01-28,Pix
TX0000267,CLI1497,CLI0114,1273.69,2025-12-31,Pix
TX0000268,CLI0442,CLI0527,390.16,2026-02-11,Pix
TX0000269,CLI1489,CLI1431,2369.41,2025-09-25,Pix
TX0000270,CLI0773,CLI1422,2591.32,2025-11-03,Pix
TX0000271,CLI1113,CLI0793,2041.64,2025-10-01,Pix
TX0000272,CLI0057,CLI0279,11840.74,2025-12-11,Pix
TX0000273,CLI0855,CLI1313,4010.18,2025-09-13,Pix
TX0000274,CLI1380,CLI0698,2486.73,2025-12-17,Pix
TX0000275,CLI1262,CLI0821,2134.55,2025-09-24,Pix
TX0000276,CLI0861,CLI1055,12865.15,2025-12-02,Pix
TX0000277,CLI0754,CLI1406,1904.21,2025-10-06,Pix
TX0000278,CLI0947,CLI1447,2339.89,2025-10-30,Pix
TX0000279,CLI0361,CLI0376,2217.4,2025-09-04,Pix
TX0000280,CLI0779,CLI1133,3948.69,2025-11-09,Pix
TX0000281,CLI0213,CLI1116,2602.62,2025-09-07,Pix
TX0000282,CLI0572,CLI0840,1801.73,2025-12-22,Pix
TX0000283,CLI0591,CLI0970,2386.14,2025-11-21,Pix
TX0000284,CLI0021,CLI1173,1067.24,2026-02-01,Pix
TX0000285,CLI1193,CLI1135,1706.95,2025-11-06,Pix
TX0000286,CLI1152,CLI0150,511.08,2026-02-16,Pix
TX0000287,CLI0378,CLI0703,2055.94,2025-11-07,Pix
TX0000288,CLI0337,CLI1193,2114.63,2025-09-18,Pix
TX0000289,CLI1009,CLI0832,116.68,2026-01-10,Pix
TX0000290,CLI0041,CLI0955,1639.23,2025-10-02,Pix
TX0000291,CLI0882,CLI0297,502.61,2026-02-13,Pix
TX0000292,CLI0432,CLI1392,824.01,2026-01-26,Pix
TX0000293,CLI0470,CLI0572,1370.49,2026-02-19,Pix
TX0000294,CLI0926,CLI1099,921.74,2025-12-01,Pix
TX0000295,CLI0932,CLI0810,2338.23,2025-11-20,Pix
TX0000296,CLI0345,CLI0674,254.92,2025-11-08,Pix
TX0000297,CLI0025,CLI0279,6467.73,2025-10-07,Pix
TX0000298,CLI1038,CLI1202,292.76,2025-10-05,Pix
TX0000299,CLI1068,CLI0114,1446.75,2025-10-28,Pix
TX0000300,CLI0168,CLI1188,269.68,2025-10-31,Pix
TX0000301,CLI1486,CLI0266,1330.41,2025-11-13,Pix
TX0000302,CLI0859,CLI0237,2826.35,2025-10-05,Pix
TX0000303,CLI0963,CLI1233,1064.52,2025-11-08,Pix
TX0000304,CLI0471,CLI1307,2762.79,2025-11-26,Pix
TX0000305,CLI0407,CLI0229,2510.35,2025-12-24,Pix
TX0000306,CLI1129,CLI0793,12625.36,2025-12-30,Pix
TX0000307,CLI0237,CLI1368,664.95,2026-02-07,Pix
TX0000308,CLI0932,CLI0945,1691.49,2025-11-02,Pix
TX0000309,CLI1042,CLI1255,2178.62,2025-11-06,Pix
TX0000310,CLI0542,CLI0811,495.29,2026-01-02,Pix
TX0000311,CLI0794,CLI0435,1696.05,2026-02-02,Pix
TX0000312,CLI1193,CLI0279,12072.72,2026-01-29,Pix
TX0000313,CLI0242,CLI1126,2798.89,2026-01-12,Pix
TX0000314,CLI0509,CLI1157,2472.07,2026-01-10,Pix
TX0000315,CLI0693,CLI0432,2651.81,2025-11-23,Pix
TX0000316,CLI0490,CLI1133,9902.5,2025-11-18,Pix
TX0000317,CLI0611,CLI0661,1029.08,2025-12-03,Pix
TX0000318,CLI0008,CLI1055,3106.05,2025-09-26,Pix
TX0000319,CLI0200,CLI0544,1252.31,2025-12-28,Pix
TX0000320,CLI0058,CLI0685,1194.91,2026-02-11,Pix
TX0000321,CLI0343,CLI0147,1416.4,2026-03-01,Pix
TX0000322,CLI1433,CLI0332,2029.62,2025-10-17,Pix
TX0000323,CLI0060,CLI1037,2487.18,2025-11-19,Pix
TX0000324,CLI0575,CLI0744,1237.46,2025-11-30,Pix
TX0000325,CLI0714,CLI1313,9502.39,2025-12-26,Pix
TX0000326,CLI1276,CLI1333,119.4,2025-11-16,Pix
TX0000327,CLI1463,CLI0436,743.67,2025-11-07,Pix
TX0000328,CLI0159,CLI0583,1010.93,2025-09-02,Pix
TX0000329,CLI0543,CLI0279,3420.78,2025-09-20,Pix
TX0000330,CLI0988,CLI1408,2402.31,2026-02-14,Pix
TX0000331,CLI0790,CLI0609,1686.13,2025-10-24,Pix
TX0000332,CLI1100,CLI0793,14455.14,2026-02-04,Pix
TX0000333,CLI1234,CLI1134,1728.18,2026-02-07,Pix
TX0000334,CLI0159,CLI0049,2991.64,2026-02-28,Pix
TX0000335,CLI0788,CLI1133,3545.76,2025-09-12,Pix
TX0000336,CLI0945,CLI1313,13339.12,2026-01-07,Pix
TX0000337,CLI1152,CLI1214,1324.42,2026-02-23,Pix
TX0000338,CLI0773,CLI1088,615.95,2026-01-20,Pix
TX0000339,CLI1363,CLI1133,6605.02,2025-12-15,Pix
TX0000340,CLI0509,CLI0124,2055.78,2025-09-06,Pix
TX0000341,CLI0626,CLI1227,2835.97,2026-02-18,Pix
TX0000342,CLI0660,CLI0454,993.31,2025-11-16,Pix
TX0000343,CLI1062,CLI0839,568.08,2026-02-19,Pix
TX0000344,CLI1196,CLI0717,1779.8,2025-10-01,Pix
TX0000345,CLI1273,CLI1133,6417.29,2025-10-20,Pix
TX0000346,CLI0332,CLI1133,6064.35,2025-11-05,Pix
TX0000347,CLI0197,CLI0408,1303.48,2025-11-07,Pix
TX0000348,CLI0801,CLI1192,679.62,2025-09-17,Pix
TX0000349,CLI0438,CLI1301,994.86,2025-12-22,Pix
TX0000350,CLI0413,CLI0047,643.43,2025-09-24,Pix
TX0000351,CLI0951,CLI0360,562.68,2025-09-20,Pix
TX0000352,CLI0050,CLI0535,2730.55,2025-11-25,Pix
TX0000353,CLI0846,CLI1431,1488.94,2025-09-06,Pix
TX0000354,CLI1194,CLI0711,1134.31,2025-10-30,Pix
TX0000355,CLI0633,CLI0998,12441.34,2026-02-15,Pix
TX0000356,CLI0488,CLI1131,2521.87,2025-12-01,Pix
TX0000357,CLI0724,CLI0316,1171.72,2026-02-01,Pix
TX0000358,CLI0922,CLI0753,56.02,2026-01-13,Pix
TX0000359,CLI1238,CLI1491,1184.57,2025-12-29,Pix
TX0000360,CLI1209,CLI1055,8289.06,2026-01-28,Pix
TX0000361,CLI1280,CLI1188,462.1,2026-01-16,Pix
TX0000362,CLI0421,CLI1146,2196.59,2025-12-15,Pix
TX0000363,CLI0455,CLI1037,1741.81,2025-09-05,Pix
TX0000364,CLI0023,CLI0998,10037.79,2025-11-28,Pix
TX0000365,CLI0249,CLI1484,552.37,2025-11-29,Pix
TX0000366,CLI1464,CLI0639,2206.77,2025-09-10,Pix
TX0000367,CLI1045,CLI1354,645.76,2025-12-19,Pix
TX0000368,CLI0233,CLI1313,13219.82,2025-09-26,Pix
TX0000369,CLI0815,CLI0479,1963.04,2025-09-06,Pix
TX0000370,CLI1253,CLI0332,1497.36,2025-11-07,Pix
TX0000371,CLI0293,CLI0060,149.57,2026-02-17,Pix
TX0000372,CLI0109,CLI1307,2565.3,2025-09-15,Pix
TX0000373,CLI1301,CLI1055,5466.33,2025-09-03,Pix
TX0000374,CLI0359,CLI0908,1716.82,2025-10-30,Pix
TX0000375,CLI0118,CLI0908,1428.95,2026-01-23,Pix
TX0000376,CLI0556,CLI0171,155.74,2025-11-08,Pix
TX0000377,CLI0345,CLI1201,314.39,2025-11-30,Pix
TX0000378,CLI0113,CLI0051,2227.36,2025-11-08,Pix
TX0000379,CLI1251,CLI1313,9007.75,2025-12-25,Pix
TX0000380,CLI0172,CLI1298,146.48,2025-09-28,Pix
TX0000381,CLI0810,CLI1024,2903.98,2025-11-07,Pix
TX0000382,CLI1047,CLI1055,13103.76,2026-01-12,Pix
TX0000383,CLI0574,CLI1182,2281.8,2025-09-21,Pix
TX0000384,CLI0574,CLI0822,1835.48,2025-10-13,Pix
TX0000385,CLI0892,CLI0793,14122.69,2025-10-23,Pix
TX0000386,CLI0192,CLI1194,116.1,2025-09-18,Pix
TX0000387,CLI0397,CLI1074,856.63,2025-09-05,Pix
TX0000388,CLI0192,CLI0980,2542.65,2026-02-25,Pix
TX0000389,CLI1141,CLI0024,2345.38,2026-02-26,Pix
TX0000390,CLI1005,CLI1193,939.95,2026-02-13,Pix
TX0000391,CLI0617,CLI0626,320.89,2025-11-21,Pix
TX0000392,CLI0576,CLI1182,570.13,2026-01-08,Pix
TX0000393,CLI0035,CLI0958,2640.05,2025-12-08,Pix
TX0000394,CLI0697,CLI0937,845.32,2025-12-21,Pix
TX0000395,CLI1172,CLI0911,850.58,2025-12-15,Pix
TX0000396,CLI0146,CLI0904,1674.1,2025-12-18,Pix
TX0000397,CLI0763,CLI0909,317.47,2025-11-16,Pix
TX0000398,CLI1248,CLI0140,1964.38,2026-03-01,Pix
TX0000399,CLI0195,CLI0998,12369.1,2025-12-05,Pix
TX0000400,CLI0159,CLI0762,2971.86,2025-10-07,Pix
TX0000401,CLI0882,CLI1014,366.24,2026-01-13,Pix
TX0000402,CLI1194,CLI1005,1649.7,2025-11-21,Pix
TX0000403,CLI0196,CLI0509,829.55,2025-10-24,Pix
TX0000404,CLI0473,CLI0793,1635.92,2025-09-22,Pix
TX0000405,CLI1426,CLI0279,13972.8,2026-01-22,Pix
TX0000406,CLI1437,CLI1421,364.91,2025-11-09,Pix
TX0000407,CLI1017,CLI0139,820.53,2025-09-15,Pix
TX0000408,CLI0224,CLI0279,3244.73,2025-09-22,Pix
TX0000409,CLI0456,CLI0627,1410.24,2026-02-28,Pix
TX0000410,CLI0743,CLI0642,2064.34,2026-01-25,Pix
TX0000411,CLI0852,CLI1206,2611.44,2025-11-11,Pix
TX0000412,CLI1005,CLI0387,2339.44,2025-09-16,Pix
TX0000413,CLI0325,CLI0793,3832.98,2025-11-23,Pix
